name,key,baseline_iou,achievable_iou,upper_bound_iou,achievable_gain,upper_bound_gain,n_fragments,n_add,n_remove,corridor_pixels,gt_empty
CRACK500_20160316_142014_1_1081.jpg,CRACK500_20160316_142014_1_1081,0.3534844668345928,0.37616995988708957,0.3930232558139535,0.022685493052496786,0.039538788979360695,39,3,9,3165,0
CRACK500_20160316_142014_641_1081.jpg,CRACK500_20160316_142014_641_1081,0.520777735417461,0.5310546875,0.5596067185579681,0.010276952082538982,0.03882898314050709,43,1,4,3445,0
CRACK500_20160316_142014_641_361.jpg,CRACK500_20160316_142014_641_361,0.3482764779424897,0.3538322813345356,0.3960056485777688,0.005555803392045866,0.047729170635279095,66,1,1,5344,0
CRACK500_20160316_142014_641_721.jpg,CRACK500_20160316_142014_641_721,0.3315568022440393,0.34789023310711126,0.3732283464566929,0.016333430863071985,0.04167154421265362,34,0,3,2967,0
CRACK500_20160316_142027_1281_361.jpg,CRACK500_20160316_142027_1281_361,0.5518655186551865,0.5619164451714033,0.5862550635563626,0.010050926516216752,0.03438954490117607,118,7,1,9502,0
CRACK500_20160316_142027_1921_361.jpg,CRACK500_20160316_142027_1921_361,0.5639003405628249,0.5909216973282796,0.6140468227424749,0.027021356765454696,0.05014648217965001,135,5,11,11005,0
CRACK500_20160316_142027_1_1081.jpg,CRACK500_20160316_142027_1_1081,0.5482673267326733,0.5586987270155587,0.5761026753434563,0.010431400282885361,0.027835348610782962,61,6,2,5110,0
CRACK500_20160316_142027_1_361.jpg,CRACK500_20160316_142027_1_361,0.5537858572381588,0.5588112530261291,0.5594183519973257,0.005025395787970344,0.005632494759166939,47,1,1,3100,0
CRACK500_20160316_142027_641_721.jpg,CRACK500_20160316_142027_641_721,0.6474657224029317,0.6572593935398814,0.669873671881536,0.009793671136949733,0.02240794947860436,79,9,3,5802,0
CRACK500_20160316_142031_1281_361.jpg,CRACK500_20160316_142031_1281_361,0.30115520988219147,0.3319799379030332,0.3580047269560891,0.03082472802084174,0.056849517073897626,112,8,7,8157,0
CRACK500_20160316_142031_1281_721.jpg,CRACK500_20160316_142031_1281_721,0.5426594926979247,0.5847328244274809,0.6331245105716523,0.042073331729556185,0.09046501787372763,66,3,1,5211,0
CRACK500_20160316_142031_1921_361.jpg,CRACK500_20160316_142031_1921_361,0.5310694493573871,0.5649543243563887,0.5770345327215648,0.03388487499900161,0.045965083364177706,123,6,4,10139,0
CRACK500_20160316_142031_1921_721.jpg,CRACK500_20160316_142031_1921_721,0.5358544416696397,0.5765449438202247,0.6218961625282167,0.040690502150585006,0.08604172085857698,128,3,0,11088,0
CRACK500_20160316_142031_1_361.jpg,CRACK500_20160316_142031_1_361,0.6257046223224352,0.6263736263736264,0.6367802921798912,0.000669004051191191,0.011075669857456005,43,1,0,2868,0
CRACK500_20160316_142031_1_721.jpg,CRACK500_20160316_142031_1_721,0.671033119130005,0.676949654491609,0.698118006103764,0.0059165353616040806,0.027084886973758993,48,4,0,3532,0
CRACK500_20160316_142031_641_361.jpg,CRACK500_20160316_142031_641_361,0.6152421652421652,0.6329855652422467,0.6689148681055156,0.017743400000081455,0.05367270286335035,120,5,3,7711,0
CRACK500_20160316_142031_641_721.jpg,CRACK500_20160316_142031_641_721,0.6295165394402036,0.6703910614525139,0.7083333333333334,0.040874522012310344,0.07881679389312979,60,2,0,4414,0
CRACK500_20160316_142035_1281_361.jpg,CRACK500_20160316_142035_1281_361,0.5354798374492029,0.6011306532663316,0.6547418157273034,0.06565081581712873,0.11926197827810048,136,5,3,10599,0
CRACK500_20160316_142035_1921_361.jpg,CRACK500_20160316_142035_1921_361,0.42408233901083886,0.47755065607426583,0.5075339260645765,0.05346831706342697,0.08345158705373762,138,9,1,11567,0
CRACK500_20160316_142035_1_721.jpg,CRACK500_20160316_142035_1_721,0.569247746919257,0.5766090753749763,0.6167478091528724,0.0073613284557193515,0.04750006223361547,40,3,4,2690,0
CRACK500_20160316_142035_641_721.jpg,CRACK500_20160316_142035_641_721,0.40743702518992403,0.40743702518992403,0.41813705375461635,0.0,0.010700028564692321,66,0,0,5185,0
CRACK500_20160316_142223_361_1281.jpg,CRACK500_20160316_142223_361_1281,0.4660061919504644,0.47760641579272056,0.519764169904864,0.011600223842256174,0.05375797795439957,48,3,2,3620,0
CRACK500_20160316_142223_361_1921.jpg,CRACK500_20160316_142223_361_1921,0.4582742445729246,0.47853248523398456,0.504446816079687,0.020258240661059967,0.046172571506762405,58,5,13,4411,0
CRACK500_20160316_142223_361_641.jpg,CRACK500_20160316_142223_361_641,0.4321332306507509,0.4336955476488124,0.43773035887487877,0.0015623169980615303,0.00559712822412789,29,2,0,2020,0
