sample_id,iou,dice,precision,recall,cldice,crack_fraction_true,crack_fraction_pred,components_pred,components_true,skeleton_covered,iou_dilate_both_tol0,precision_tol0,recall_tol0,f1_tol0,iou_buffered_tol0,iou_dilate_both_tol1,precision_tol1,recall_tol1,f1_tol1,iou_buffered_tol1,iou_dilate_both_tol2,precision_tol2,recall_tol2,f1_tol2,iou_buffered_tol2,iou_dilate_both_tol3,precision_tol3,recall_tol3,f1_tol3,iou_buffered_tol3,iou_dilate_both_tol5,precision_tol5,recall_tol5,f1_tol5,iou_buffered_tol5,iou_dilate_both_tol8,precision_tol8,recall_tol8,f1_tol8,iou_buffered_tol8,baseline_iou,baseline_dice,baseline_precision,baseline_recall,baseline_cldice,baseline_crack_fraction_true,baseline_crack_fraction_pred,baseline_components_pred,baseline_components_true,baseline_skeleton_covered,baseline_iou_dilate_both_tol0,baseline_precision_tol0,baseline_recall_tol0,baseline_f1_tol0,baseline_iou_buffered_tol0,baseline_iou_dilate_both_tol1,baseline_precision_tol1,baseline_recall_tol1,baseline_f1_tol1,baseline_iou_buffered_tol1,baseline_iou_dilate_both_tol2,baseline_precision_tol2,baseline_recall_tol2,baseline_f1_tol2,baseline_iou_buffered_tol2,baseline_iou_dilate_both_tol3,baseline_precision_tol3,baseline_recall_tol3,baseline_f1_tol3,baseline_iou_buffered_tol3,baseline_iou_dilate_both_tol5,baseline_precision_tol5,baseline_recall_tol5,baseline_f1_tol5,baseline_iou_buffered_tol5,baseline_iou_dilate_both_tol8,baseline_precision_tol8,baseline_recall_tol8,baseline_f1_tol8,baseline_iou_buffered_tol8,fraction_reinforce,fraction_suppress,fraction_abstain,residual_abs_mean,residual_abs_max,residual_abs_p50,residual_abs_p90,residual_abs_p99,residual_nonzero_fraction,active_probability_mean,evidence_source_id,improves_baseline,recovered_false_negatives,removed_false_positives,introduced_false_positives,lost_true_positives
LAB00202,0.6657859973579919,0.7993655828707374,0.775623268698061,0.824607329842932,0.8707121556083888,0.03979166666666667,0.0423046875,20.0,7.0,0.9189814814814815,0.665785997357992,0.775623268698061,0.824607329842932,0.7993655828707374,0.6657859973579919,0.7000554631170272,0.8664973838104032,0.8886616492146597,0.8774395706011733,0.7816412797225314,0.7259433283789615,0.9126654355186211,0.9226930628272252,0.9176518558027639,0.8478342765426689,0.7488531636153242,0.9357494613727301,0.9455988219895288,0.9406483596647378,0.8879472347511,0.7816603897167185,0.9532163742690059,0.965395942408377,0.9592674997001608,0.9217234009928508,0.8176243822928255,0.9684518313327177,0.9745582460732984,0.9714954432044006,0.9445708692153822,0.6124109135411417,0.7596213947673899,0.8361509730686062,0.6959260471204188,0.8930174647302778,0.03979166666666667,0.033118489583333334,7.0,7.0,0.845679012345679,0.6124109135411417,0.8361509730686062,0.6959260471204188,0.7596213947673899,0.6124109135411417,0.6549282991468506,0.9249066247297032,0.7702879581151832,0.8405459085583206,0.7249497110430441,0.6874771241830065,0.9609789659917437,0.8186354712041884,0.884114505028992,0.792298590682875,0.7167110669616652,0.975230980931787,0.8538121727748691,0.9104914568027513,0.8356900572168461,0.7602862254025045,0.9815215254570474,0.8952061518324608,0.9363789092876317,0.8803688808582056,0.799116874406126,0.9880086494987222,0.9253108638743456,0.9556324812380987,0.9150346636316323,0.85751953125,0.14248046875,0.0,0.8464833058649675,8.096708297729492,0.5936915874481201,2.001612043380739,3.7338672924041747,1.0,1.0,LAB00202,1.0,0.45924132364810333,0.13437312537492502,0.005022007507440958,0.015751733866227812
LAB00234,0.7357487922705314,0.8477595324241581,0.9491067719152472,0.7659681475272423,0.9436808138423769,0.019417317708333333,0.015670572916666667,1.0,1.0,0.9007633587786259,0.7357487922705314,0.9491067719152472,0.7659681475272423,0.8477595324241581,0.7357487922705314,0.7651433207138995,0.9921063564603241,0.8549874266554903,0.9184573825457804,0.8492105329216558,0.7855638745905476,0.9983381803074366,0.899916177703269,0.9465756530320986,0.8985701305999351,0.8044647387113141,1.0,0.9285834031852472,0.9629694019471489,0.9285834031852473,0.8318196561790464,1.0,0.9611064543168483,0.9801675500085485,0.9611064543168484,0.8566690055495312,1.0,0.9842414082145851,0.99205812774586,0.984241408214585,0.7440570522979398,0.8532485233984552,0.9315476190476191,0.7870913663034367,0.9359350240750807,0.019417317708333333,0.01640625,2.0,1.0,0.8854961832061069,0.7440570522979397,0.9315476190476191,0.7870913663034367,0.8532485233984552,0.7440570522979398,0.7709974629456536,0.9924603174603175,0.8625314333612741,0.9229455816114445,0.8569163877460506,0.7913577386468953,0.9996031746031746,0.901089689857502,0.9477934404087244,0.900767469817799,0.8096966031650036,1.0,0.9274098910310142,0.962338001217709,0.9274098910310142,0.8362284883251192,1.0,0.9609388097233864,0.9800803624861075,0.9609388097233863,0.8598255776943153,1.0,0.9844090528080469,0.9921432795471825,0.9844090528080468,0.6904622395833333,0.30953776041666664,0.0,0.3157174824131653,4.033360481262207,0.20426791906356812,0.6992902278900148,1.9610483765602185,1.0,1.0,LAB00234,0.0,0.06535433070866142,0.4057971014492754,0.00013293894778822825,0.044515441959531415
LAB00259,0.764750143849865,0.8666950916706377,0.9461176212901106,0.7995742514692952,0.8307788693146043,0.14068359375,0.11889322916666667,26.0,5.0,0.7615700058582309,0.764750143849865,0.9461176212901106,0.7995742514692952,0.8666950916706377,0.764750143849865,0.7664102724449169,0.9685959916767057,0.8239853764635106,0.8904576908224893,0.8025450525474545,0.7650407146810024,0.9785620413974373,0.8406219630709426,0.9043623319089279,0.8254209929497924,0.7625769159052769,0.9837641003175994,0.8530936183997408,0.9137810375185091,0.8412493880892637,0.7560373907060265,0.988637608148067,0.8673006617613032,0.9240027706641359,0.8587408456752779,0.7514791148976453,0.9929087723140948,0.8801656717108612,0.9331441356420515,0.8746674849124374,0.7394170403587444,0.8501894867101498,0.959778812572759,0.763061687259938,0.8035674621224481,0.14068359375,0.11184895833333333,1.0,5.0,0.6842413591095489,0.7394170403587444,0.959778812572759,0.763061687259938,0.8501894867101498,0.7394170403587444,0.7336169672339344,0.9789289871944121,0.7815956314498589,0.869202977098939,0.7686640126350863,0.7270900321543409,0.9867287543655413,0.7965662455458374,0.8815084652580087,0.7881226078848699,0.7193661637726539,0.9906868451688009,0.8089916238604286,0.8906672757413051,0.8028856052511101,0.7054243668720055,0.9940337601862631,0.8254893794252395,0.9019553463871851,0.82141955103515,0.689897466827503,0.9961583236321304,0.8381230043037623,0.9103327763841689,0.8354227388462886,0.5375065104166666,0.4624934895833333,0.0,0.6632197477990606,6.194087505340576,0.3257322907447815,1.8034696698188806,3.327290465831757,0.9999967447916667,1.0,LAB00259,1.0,0.1818359375,0.14616497829232997,0.0030007616146230007,0.00861180180726545
LAB00264,0.8632215409826802,0.9265903404352112,0.9248092989466037,0.9283782551885502,0.9436965055209027,0.10712565104166667,0.1075390625,11.0,1.0,0.9795342272406493,0.8632215409826802,0.9248092989466037,0.9283782551885502,0.9265903404352112,0.8632215409826802,0.8700963432160537,0.9511139363119022,0.955999878452703,0.9535506485973212,0.9112248455399827,0.8757964189478455,0.9671570408039715,0.974323133489319,0.9707268619576748,0.9431188147045153,0.8813884610828101,0.9776001937280543,0.9865994104956091,0.9820791866147469,0.9647893762469506,0.8907650703745502,0.9875590265165274,0.9965359020328786,0.9920271567045166,0.9841804402796869,0.9020695099716171,0.9934616781692699,0.9995745844601781,0.9965087567679528,0.9930418062826285,0.8585691935713272,0.9239033946554839,0.9307410034228623,0.917165517031815,0.986046511627907,0.10712565104166667,0.10556315104166666,1.0,1.0,0.9724770642201835,0.858569193571327,0.9307410034228623,0.917165517031815,0.9239033946554839,0.8585691935713272,0.8674163953832494,0.9586481235930803,0.9436628277978668,0.9510964529868291,0.9067530143216175,0.8754279290787389,0.9762558204076598,0.9636877449937707,0.9699310710732159,0.9416176372621732,0.8829784668804707,0.9876345246538591,0.9790027044273603,0.983299671463737,0.9671479824142353,0.8946921720963635,0.9960837521971075,0.9931629645385761,0.9946212140886846,0.989299981287272,0.9054771337359129,0.9995682876437756,0.9993011030417212,0.9994346774857508,0.9988699937894536,0.48875,0.51125,0.0,0.498338513574951,4.217705726623535,0.2546471357345581,1.3530174493789673,2.691680297851563,0.9999934895833333,1.0,LAB00264,1.0,0.22964049889948643,0.1709706144256456,0.0022863864434192875,0.008514726832985455
LAB00268,0.8979160124940092,0.9462125895803764,0.9585575413277818,0.934181568088033,0.9417176363544457,0.18932291666666667,0.18450846354166667,10.0,1.0,0.9396751740139211,0.8979160124940092,0.9585575413277818,0.934181568088033,0.9462125895803764,0.8979160124940092,0.9048137590878519,0.9674494098551543,0.9590612104539202,0.9632370486696399,0.9290812788339197,0.9090470633994555,0.9734302499955894,0.9746389270976616,0.9740342135855219,0.949382744028487,0.9124089792103239,0.9787759566697836,0.985643053645117,0.9821975023666453,0.9650177756986253,0.9173107086838728,0.9854801432578818,0.9949449793672627,0.9901899441680122,0.9805704928856046,0.9228508742769763,0.9916726945537305,0.998882393397524,0.9952644873770602,0.9905736135262555,0.9073817076394395,0.9514421827631009,0.9586664339326235,0.9443259972489684,0.9668891814767947,0.18932291666666667,0.18649088541666667,1.0,1.0,0.9396751740139211,0.9073817076394396,0.9586664339326235,0.9443259972489684,0.9514421827631009,0.9073817076394395,0.9120928659979713,0.9716529935416303,0.9583734525447043,0.9649675381227749,0.9323065446397939,0.9164008861097582,0.9810089020771513,0.9691368638239339,0.9750367458333203,0.9512894651292149,0.920550960818186,0.9882352941176471,0.9782152682255846,0.983199752709116,0.9669546750492127,0.9260539849492984,0.9946762087624367,0.9897352132049518,0.9921995596793758,0.9845198711797694,0.9312984364377974,0.9985337755280154,0.996595598349381,0.9975637455133387,0.9951393328488325,0.4217252604166667,0.5782747395833333,0.0,0.8232107894142003,5.327615261077881,0.3477276563644409,2.1950369596481343,5.085077285766602,1.0,1.0,LAB00268,0.0,0.3122297714638666,0.4032939189189189,0.0037945125510799767,0.02915043152106624
LAB00271,0.8795015433863038,0.9358880778588807,0.9564442602569415,0.9161969035331481,0.9844874635995677,0.08199869791666667,0.07854817708333334,1.0,1.0,0.9796610169491525,0.8795015433863039,0.9564442602569415,0.9161969035331481,0.9358880778588807,0.8795015433863038,0.886181514920773,0.975259013675922,0.9440651052004764,0.9594085691818104,0.9219839225731974,0.8920676652713876,0.9858267716535433,0.960817784835252,0.9731616301641941,0.9477262038034332,0.8977897822721433,0.9936179030252797,0.9727272727272728,0.983061615896476,0.9666874918514243,0.9072462895505313,0.998756734355574,0.9870186581976975,0.99285300392613,0.9858074420085032,0.9172456342713056,1.0,0.9947201270345375,0.9973530758055207,0.9947201270345374,0.8463495489939094,0.9167814940081005,0.9668839175620927,0.8716157205240175,0.9594356261022927,0.08199869791666667,0.07391927083333333,2.0,1.0,0.9220338983050848,0.8463495489939095,0.9668839175620927,0.8716157205240175,0.9167814940081005,0.8463495489939094,0.8528538436159683,0.9832658094063766,0.9010321556173084,0.9403545811111556,0.8874238158809967,0.8590604026845637,0.9921613528271974,0.9215958713775307,0.9555776406130748,0.914934108815899,0.8644298872742993,0.9965650871939404,0.9364430329495832,0.9655690765688749,0.9334302123975172,0.8749241044323012,0.9995155892196582,0.9560539896784438,0.9773018328068881,0.9556112097953415,0.887073249783924,1.0,0.9712187375942835,0.9853992548585239,0.9712187375942835,0.7722233072916667,0.22777669270833334,0.0,0.45616233537633283,4.590101718902588,0.23726731538772583,1.1083117246627818,3.127344088554392,1.0,1.0,LAB00271,1.0,0.3852813852813853,0.13962765957446807,0.0014364035867424215,0.005602113317544179
LAB00272,0.9131996838399081,0.9546308119882821,0.9632773714329026,0.9461380978968918,0.9898413922869637,0.087451171875,0.08589518229166666,3.0,1.0,0.9897330595482546,0.913199683839908,0.9632773714329026,0.9461380978968918,0.9546308119882821,0.9131996838399081,0.9157326407873154,0.9813165573956872,0.9698492462311558,0.975549204209379,0.9522655536193886,0.9178890410065845,0.9907909197710995,0.9840684906011539,0.9874182635985109,0.9751491934938467,0.9203882892941322,0.9965134346458483,0.9919597989949749,0.9942314028710131,0.988528977449776,0.9243856867851885,0.998711486716944,0.9977666108319375,0.9982388251830977,0.9964838429334731,0.9292171717171717,0.9991662561109638,0.9999627768471989,0.9995643577986577,0.9991290950002867,0.906570507012648,0.9509960462287104,0.9717204676999572,0.9311371673180718,0.9859448204060385,0.087451171875,0.083798828125,1.0,1.0,0.9722792607802875,0.9065705070126482,0.9717204676999572,0.9311371673180718,0.9509960462287104,0.906570507012648,0.908771203971866,0.9879578914656412,0.9555555555555556,0.971486616973893,0.9445541817993374,0.9113224309828568,0.9956493027230704,0.9707426018983808,0.9830382157617414,0.9666422386737697,0.9137612379788866,0.9989511711921687,0.9810161920714685,0.9899024521423765,0.9800067867127487,0.9181318366645668,0.9999223089771977,0.9921459147589801,0.9960189335960005,0.9920694392808447,0.9231378763866878,1.0,0.9980643960543458,0.9990312604791535,0.9980643960543457,0.74708984375,0.25291015625,0.0,0.44312057823330786,4.407542705535889,0.2379421591758728,1.1232395052909854,2.583623278141023,0.9999967447916667,1.0,LAB00272,1.0,0.30324324324324325,0.17307692307692307,0.0013125565525898852,0.006316210273835699
LAB00284,0.7333900287020303,0.8461915859192934,0.898599804623901,0.799559599003303,0.924264783889082,0.05617513020833333,0.04998372395833333,21.0,1.0,0.9001426533523538,0.7333900287020304,0.898599804623901,0.799559599003303,0.8461915859192934,0.7333900287020303,0.7603471629960368,0.9232823184630413,0.8496262386278032,0.884924245291593,0.7936001133151722,0.7782162213559,0.9413871703028329,0.8875239033435707,0.9136623731835557,0.8410482621881372,0.7944449430135511,0.9576033865190492,0.9218867705858492,0.9394057108125071,0.8857352150483229,0.8186857651533543,0.9785086291110388,0.9674335052442488,0.9729395507295185,0.9473050504676674,0.8423984857683654,0.9927059589710192,0.9903807150721446,0.9915419738035087,0.9832258240268231,0.6094207300237451,0.7573168639560817,0.9283310901749664,0.6395086052036855,0.8437440497415641,0.05617513020833333,0.038697916666666665,1.0,1.0,0.746077032810271,0.6094207300237451,0.9283310901749664,0.6395086052036855,0.7573168639560817,0.6094207300237451,0.6275010421008753,0.9496971736204576,0.6797241699020687,0.7923452403071853,0.6561024447986529,0.6437598736176935,0.9658479138627187,0.714782407139132,0.8215621105652334,0.6971619954949791,0.6587434750186428,0.9782133243606999,0.7481601668887987,0.8478585285468544,0.7358979340249661,0.6861384473042308,0.9927658142664872,0.8051805064611463,0.889187482310263,0.8004838513699785,0.7167968027236058,0.9984017496635262,0.8724575534565684,0.9311904389875778,0.8712407457372615,0.8386458333333333,0.16135416666666666,0.0,0.6797609003140436,6.238552093505859,0.4564812183380127,1.4951943039894109,3.7484845948219356,1.0,1.0,LAB00284,1.0,0.4444623050956438,0.002347417840375587,0.0024455967152211587,0.00027183762232693004
LAB00295,0.7458394129713042,0.8544192637992224,0.7684430694147893,0.9620577725648509,0.7044723896967071,0.11933919270833333,0.14940755208333334,59.0,1.0,0.9554973821989529,0.7458394129713041,0.7684430694147893,0.9620577725648509,0.8544192637992224,0.7458394129713042,0.7407082294264339,0.791929931587433,0.9788330923870052,0.8755177439268085,0.7785963177259969,0.7433348655481499,0.8116257789010415,0.9869070674558795,0.890725147388119,0.8029796630572051,0.7494656544811321,0.8311255392391825,0.9918714710455252,0.9044114790949952,0.8255028798110363,0.763780618785296,0.8635234650747309,0.9958811816371621,0.9249915238092743,0.8604504469462102,0.7835838932663025,0.9021308118000785,0.998145167889583,0.9477123536020393,0.9006210011550659,0.6664494774427272,0.7998436033781671,0.9373877341544778,0.697498704345217,0.8482412060301506,0.11933919270833333,0.088798828125,2.0,1.0,0.7364746945898778,0.6664494774427272,0.9373877341544778,0.697498704345217,0.7998436033781671,0.6664494774427272,0.6728286532375546,0.9535906741449467,0.7151468863369793,0.8173333154409165,0.6910935482600755,0.6787471818864997,0.9660178159023425,0.7289762963367066,0.8309221660971156,0.7107500818171705,0.6848746355685131,0.9764287547197478,0.7416055208532227,0.8429691601798852,0.7285623953730938,0.6955322430008036,0.9910187323582242,0.7603993344425957,0.8605255350389602,0.7551951022161631,0.7073103010590616,0.9997067341178195,0.778593055290363,0.8754032645645009,0.7784152638727888,0.7716666666666666,0.22833333333333333,0.0,1.0214177618121418,7.646241188049316,0.562842607498169,2.762719368934632,5.408121862411501,1.0,1.0,LAB00295,1.0,0.8848512173128945,0.013466042154566744,0.03326625277590754,0.004458175276680615
LAB00298,0.5224195946474683,0.6863017219223849,0.9350140056022409,0.5421031262687779,0.7916666666666666,0.040087890625,0.0232421875,1.0,2.0,0.6551724137931034,0.5224195946474685,0.9350140056022409,0.5421031262687779,0.6863017219223849,0.5224195946474683,0.5455513739970177,0.9775910364145658,0.5852212748680471,0.7321507112528115,0.5774745608575278,0.5652315296566077,0.9966386554621849,0.6198132358911896,0.7643033898634211,0.6185202610363593,0.5832146248812915,0.999859943977591,0.6518067397482744,0.789160981099131,0.6517472337615009,0.6135415606877607,1.0,0.7079983759642712,0.8290386992488352,0.7079983759642712,0.6488875603194261,1.0,0.7757206658546488,0.8736967258094018,0.7757206658546487,0.517094678217822,0.6816907153418652,0.9160043847629488,0.5428339423467317,0.7880597014925372,0.040087890625,0.023756510416666668,1.0,2.0,0.6502463054187192,0.5170946782178217,0.9160043847629488,0.5428339423467317,0.6816907153418652,0.517094678217822,0.5405823603882403,0.9639627295149356,0.5833536337799432,0.7268470423120631,0.5709031565476839,0.5602942125298407,0.989997259523157,0.6160779537149818,0.7595104896747221,0.6122667570768618,0.5773584905660377,0.9983557138942176,0.646285018270402,0.7846362165009317,0.6455978260615443,0.6074756888168558,1.0,0.7019894437677628,0.8249045801526718,0.701989443767763,0.6427567406397751,1.0,0.76743808363784,0.8684186345676743,0.7674380836378399,0.584404296875,0.415595703125,0.0,0.33393646044385,4.050164699554443,0.18803679943084717,0.8191170573234559,2.016888666152955,1.0,1.0,LAB00298,1.0,0.020959147424511545,0.2561174551386623,2.718573292735972e-05,0.01899775617053104
