group,variant,cases,mean_average_precision_tolerant_r2,mean_mass_near_target_r2,mean_active_fraction
frangi_failures,luminance,6,0.32509412996741255,0.2579358754512199,0.1880429812528578
frangi_failures,hsv_low_saturation,6,0.13307908493030418,0.14243962742803348,0.14032493141289437
frangi_failures,hsv_high_saturation,6,0.23370063109014158,0.19920036249926,0.11951660379515318
frangi_failures,hsv_bipolar_max,6,0.24137961007242606,0.1660010226920666,0.24908907750342935
frangi_gains,luminance,6,0.31275480326937916,0.2412436810185622,0.1436078246456333
frangi_gains,hsv_low_saturation,6,0.06251651848653225,0.04370598652675956,0.1597293667123914
frangi_gains,hsv_high_saturation,6,0.11321034189604744,0.07239462292468732,0.13120141746684957
frangi_gains,hsv_bipolar_max,6,0.10813635375414184,0.05880398121557678,0.2753236454046639
all,luminance,12,0.31892446661839585,0.249589778234891,0.16582540294924555
all,hsv_low_saturation,12,0.09779780170841822,0.0930728069773965,0.1500271490626429
all,hsv_high_saturation,12,0.1734554864930945,0.13579749271197367,0.12535901063100136
all,hsv_bipolar_max,12,0.17475798191328396,0.11240250195382168,0.26220636145404663
