dataset,category,case_name,delta_iou_frangi_minus_baseline,variant,average_precision_tolerant_r2,mass_near_target_r2,top_target_count_precision_r2,target_coverage_r2,weighted_distance_mean_px,active_fraction
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,luminance,0.0910643899861534,0.11635710368282533,0.0,0.0,40.979347229003906,0.2019247256515775
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,hsv_low_saturation,0.028356481481481483,0.0,0.0,0.0,nan,0.0
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,hsv_high_saturation,0.028356481481481483,0.0,0.0,0.0,nan,0.0
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,hsv_bipolar_max,0.028356481481481483,0.0,0.0,0.0,nan,0.0
khanhha_noisy1,gain_baseline,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,luminance,0.37648285489602,0.2218706227857477,0.6501547987616099,0.7244582043343654,43.81709671020508,0.17348251028806586
khanhha_noisy1,gain_baseline,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,hsv_low_saturation,0.04507598911102491,0.06240425690824162,0.04179566563467492,0.06656346749226007,73.57542419433594,0.17247513717421126
khanhha_noisy1,gain_baseline,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,hsv_high_saturation,0.05811200064166197,0.11089751143438042,0.12693498452012383,0.14241486068111456,75.6816635131836,0.14107510288065844
khanhha_noisy1,gain_baseline,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,hsv_bipolar_max,0.06094471613295281,0.08546425908190655,0.09907120743034056,0.12693498452012383,75.55845642089844,0.29723936899862824
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,luminance,0.1873238022309177,0.19356679884788694,0.20144706778370144,0.38156892612338156,67.71385955810547,0.18704989711934156
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,hsv_low_saturation,0.2391749427538203,0.31098139187745394,0.2496826605737497,0.36062452399086065,38.36119079589844,0.17401834705075445
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,hsv_high_saturation,0.2340370945237369,0.3544496047860222,0.34707190511489994,0.45163747143945165,37.71884536743164,0.1445687585733882
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,hsv_bipolar_max,0.27459803243153647,0.33082654510275983,0.3427265803503427,0.506092916984006,38.28392791748047,0.3101423182441701
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,luminance,0.8001542424151133,0.7360427576323368,0.9231105286151158,0.982088248143294,8.417963981628418,0.1887002743484225
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,hsv_low_saturation,0.08485509474327649,0.10030419265246898,0.1363040629095675,0.1542158147662735,21.744447708129883,0.1566358024691358
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,hsv_high_saturation,0.3481805819913986,0.5218332105575842,0.45784185233726515,0.47182175622542594,32.8933219909668,0.12457133058984911
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,hsv_bipolar_max,0.34172805725489536,0.3734083561449913,0.36435124508519,0.3652249890782001,29.23453712463379,0.263695987654321
facade390,gain_baseline,DJ_Wall_231.JPG,-0.4563664418790719,luminance,0.1133542531010853,0.13432100188256735,0.2897822445561139,0.39195979899497485,45.91364669799805,0.18876457475994513
facade390,gain_baseline,DJ_Wall_231.JPG,-0.4563664418790719,hsv_low_saturation,0.20820655039231,0.23091830134686692,0.33668341708542715,0.19095477386934673,43.22371292114258,0.18042695473251028
facade390,gain_baseline,DJ_Wall_231.JPG,-0.4563664418790719,hsv_high_saturation,0.03787921405421413,0.0010038805969958676,0.0,0.0,69.25353240966797,0.16229423868312756
facade390,gain_baseline,DJ_Wall_231.JPG,-0.4563664418790719,hsv_bipolar_max,0.054928520196675545,0.032737323573479686,0.0,0.0,65.54285430908203,0.33146862139917693
concrete3k,gain_baseline,128_23.jpg,-0.8669950738916257,luminance,0.38218523717518554,0.14545696787595494,0.43478260869565216,0.8804347826086957,99.46663665771484,0.18833590534979425
concrete3k,gain_baseline,128_23.jpg,-0.8669950738916257,hsv_low_saturation,0.19280545109991196,0.15002962178316934,0.2717391304347826,0.34782608695652173,79.80266571044922,0.15839334705075445
concrete3k,gain_baseline,128_23.jpg,-0.8669950738916257,hsv_high_saturation,0.6956384138483562,0.20701796762057734,0.7391304347826086,0.9130434782608695,109.95899963378906,0.14459019204389575
concrete3k,gain_baseline,128_23.jpg,-0.8669950738916257,hsv_bipolar_max,0.6877218529370147,0.17356965224926213,0.7391304347826086,0.9130434782608695,108.07826232910156,0.29198816872427985
khanhha_original,gain_frangi,Sylvie_Chambon_319.jpg,0.3159839802716249,luminance,0.06475203583826444,0.009402783346809817,0.007918025151374011,0.04471355379599441,76.01004791259766,0.1381172839506173
khanhha_original,gain_frangi,Sylvie_Chambon_319.jpg,0.3159839802716249,hsv_low_saturation,0.06710880097680637,8.008104878357631e-05,0.0,0.0,73.98358917236328,0.13646690672153636
khanhha_original,gain_frangi,Sylvie_Chambon_319.jpg,0.3159839802716249,hsv_high_saturation,0.06643907636375902,0.002275374300328827,0.0,0.0,87.13855743408203,0.14270404663923184
khanhha_original,gain_frangi,Sylvie_Chambon_319.jpg,0.3159839802716249,hsv_bipolar_max,0.06634166042686669,0.001326490752019121,0.0,0.0,81.29443359375,0.2736839849108368
khanhha_noisy1,gain_frangi,CRACK500_20160329_093924_1921_721.jpg,0.7538132793037708,luminance,0.09187724142538736,0.09012514839522666,0.18961352657004832,0.33997584541062803,97.22188568115234,0.21439900548696844
khanhha_noisy1,gain_frangi,CRACK500_20160329_093924_1921_721.jpg,0.7538132793037708,hsv_low_saturation,0.040968448961327085,0.01918858858997414,0.010869565217391304,0.06823671497584541,118.99581146240234,0.22106481481481483
khanhha_noisy1,gain_frangi,CRACK500_20160329_093924_1921_721.jpg,0.7538132793037708,hsv_high_saturation,0.042563929896895725,0.025285617184859464,0.010869565217391304,0.07548309178743962,107.75480651855469,0.1475480109739369
khanhha_noisy1,gain_frangi,CRACK500_20160329_093924_1921_721.jpg,0.7538132793037708,hsv_bipolar_max,0.03976157497167445,0.022335242552971802,0.010869565217391304,0.08272946859903382,111.89869689941406,0.31824417009602196
khanhha_noisy2,gain_frangi,Volker_DSC01646_226_19_1273_1645.jpg,0.6845425867507886,luminance,0.8955243415114646,0.8725178895481622,0.942079553384508,0.9427773900907188,10.969146728515625,0.10298782578875171
khanhha_noisy2,gain_frangi,Volker_DSC01646_226_19_1273_1645.jpg,0.6845425867507886,hsv_low_saturation,0.09267776670292975,0.14465273422181996,0.21144452198185626,0.19399860432658758,33.68230438232422,0.14156807270233196
khanhha_noisy2,gain_frangi,Volker_DSC01646_226_19_1273_1645.jpg,0.6845425867507886,hsv_high_saturation,0.07096811320738709,0.1236517815973402,0.1060711793440335,0.19818562456385205,55.715171813964844,0.10650291495198902
khanhha_noisy2,gain_frangi,Volker_DSC01646_226_19_1273_1645.jpg,0.6845425867507886,hsv_bipolar_max,0.09775251155532114,0.1329900428667464,0.12142358688066993,0.19120725750174458,46.800010681152344,0.24436299725651578
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,luminance,0.12562374669843207,0.11249595951454969,0.17990275526742303,0.28444084278768234,50.60914993286133,0.16574502743484226
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,hsv_low_saturation,0.04643878852188393,0.036613405883496486,0.005672609400324149,0.011345218800648298,47.60868835449219,0.17997685185185186
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,hsv_high_saturation,0.21244280243625993,0.22177719529075804,0.39303079416531606,0.6596434359805511,47.174861907958984,0.14904835390946503
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,hsv_bipolar_max,0.15747039284529069,0.13962875425397717,0.2852512155591572,0.5623987034035657,47.73786163330078,0.321394890260631
facade390,gain_frangi,DJ_Wall_66.JPG,0.5394883203559511,luminance,0.024004988612855452,0.0036440354404653095,0.0,0.0,69.74332427978516,0.07988254458161866
facade390,gain_frangi,DJ_Wall_66.JPG,0.5394883203559511,hsv_low_saturation,0.023840423300090216,0.001595199242382698,0.0,0.0,57.87851333618164,0.131494341563786
facade390,gain_frangi,DJ_Wall_66.JPG,0.5394883203559511,hsv_high_saturation,0.02447702331961591,0.0,0.0,0.0,63.88882064819336,0.09694358710562415
facade390,gain_frangi,DJ_Wall_66.JPG,0.5394883203559511,hsv_bipolar_max,0.023788653549919485,0.0005374118960648188,0.0,0.0,62.109344482421875,0.20756172839506173
concrete3k,gain_frangi,224_37.jpg,0.9160935350756534,luminance,0.6747464655298709,0.3592762698661595,0.7904191616766467,0.9101796407185628,88.43891906738281,0.16051526063100138
concrete3k,gain_frangi,224_37.jpg,0.9160935350756534,hsv_low_saturation,0.10406488245615612,0.060105910174100545,0.2275449101796407,0.4251497005988024,117.55318450927734,0.14780521262002744
concrete3k,gain_frangi,224_37.jpg,0.9160935350756534,hsv_high_saturation,0.2623711061523669,0.06137776917483739,0.2994011976047904,0.7964071856287425,114.8923568725586,0.14446159122085048
concrete3k,gain_frangi,224_37.jpg,0.9160935350756534,hsv_bipolar_max,0.2637033291757786,0.05600594497168136,0.2994011976047904,0.7964071856287425,116.09048461914062,0.28669410150891633
