dataset,category,group,case_name,delta_iou_frangi_minus_baseline,variant,target_proxy_pixels,average_precision,average_precision_tolerant_r2,mass_near_target_r2,top_target_count_effective,top_target_count_precision_r2,target_coverage_r2,weighted_distance_mean_px,weighted_distance_p90_px,false_component_count_top_target,false_component_largest_top_target_px,response_mean,response_sum,active_fraction,response_p99_minus_p50,spearman_with_soft_target
khanhha_original,gain_baseline,failures,cracktree200_6266.jpg,-0.16966789327720116,luminance,127,0.016350010496991647,0.0910643899861534,0.11635710368282533,127,0.0,0.0,40.979347229003906,86.68333435058594,2,113,0.07399202138185501,3452.171630859375,0.2019247256515775,0.9482441544532776,0.14160737718153407
khanhha_original,gain_baseline,all,cracktree200_6266.jpg,-0.16966789327720116,luminance,127,0.016350010496991647,0.0910643899861534,0.11635710368282533,127,0.0,0.0,40.979347229003906,86.68333435058594,2,113,0.07399202138185501,3452.171630859375,0.2019247256515775,0.9482441544532776,0.14160737718153407
khanhha_original,gain_baseline,failures,cracktree200_6266.jpg,-0.16966789327720116,lab_cstar_dark,127,0.0025332272319140113,0.027166595909307565,0.02282127907892621,127,0.0,0.0,37.72693634033203,79.8122787475586,28,10,0.0405585877597332,1892.3013916015625,0.3020618998628258,0.4093487858772278,0.030791274644917196
khanhha_original,gain_baseline,all,cracktree200_6266.jpg,-0.16966789327720116,lab_cstar_dark,127,0.0025332272319140113,0.027166595909307565,0.02282127907892621,127,0.0,0.0,37.72693634033203,79.8122787475586,28,10,0.0405585877597332,1892.3013916015625,0.3020618998628258,0.4093487858772278,0.030791274644917196
khanhha_original,gain_baseline,failures,cracktree200_6266.jpg,-0.16966789327720116,lab_cstar_bipolar,127,0.0025332272319140113,0.027166595909307565,0.02282127907892621,127,0.0,0.0,37.72693634033203,79.8122787475586,28,10,0.0405585877597332,1892.3013916015625,0.3020618998628258,0.4093487858772278,0.030791274644917196
khanhha_original,gain_baseline,all,cracktree200_6266.jpg,-0.16966789327720116,lab_cstar_bipolar,127,0.0025332272319140113,0.027166595909307565,0.02282127907892621,127,0.0,0.0,37.72693634033203,79.8122787475586,28,10,0.0405585877597332,1892.3013916015625,0.3020618998628258,0.4093487858772278,0.030791274644917196
khanhha_original,gain_baseline,failures,cracktree200_6266.jpg,-0.16966789327720116,lab_astar_bipolar,127,0.002722050754458162,0.028356481481481483,0.0,0,0.0,0.0,nan,nan,0,0,0.0,0.0,0.0,0.0,nan
khanhha_original,gain_baseline,all,cracktree200_6266.jpg,-0.16966789327720116,lab_astar_bipolar,127,0.002722050754458162,0.028356481481481483,0.0,0,0.0,0.0,nan,nan,0,0,0.0,0.0,0.0,0.0,nan
khanhha_original,gain_baseline,failures,cracktree200_6266.jpg,-0.16966789327720116,lab_bstar_bipolar,127,0.002722050754458162,0.028356481481481483,0.0,0,0.0,0.0,nan,nan,0,0,0.0,0.0,0.0,0.0,nan
khanhha_original,gain_baseline,all,cracktree200_6266.jpg,-0.16966789327720116,lab_bstar_bipolar,127,0.002722050754458162,0.028356481481481483,0.0,0,0.0,0.0,nan,nan,0,0,0.0,0.0,0.0,0.0,nan
