image_id,category,domain,delta_iou,umap_1,umap_2,umap_3
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,improved,khanhha,0.0230023029906272,4.3594837,5.5719366,4.3194466
khanhha_original::CRACK500_20160222_163940_1_361.jpg,improved,khanhha,0.0122966381810233,4.331003,5.8805757,3.662481
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,neutral,khanhha,-0.0048359521603076,4.2539544,6.1225715,2.9287777
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,neutral,khanhha,0.007611500665304,4.3279896,5.239003,4.5437217
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,neutral,khanhha,0.0045615023559186,4.283524,5.168539,4.553377
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,neutral,khanhha,0.0055611848281974,4.5770836,5.944225,2.9457445
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,improved,khanhha,0.0758985182944791,5.613257,5.9530563,3.181655
khanhha_original::CRACK500_20160222_164822_641_1.jpg,neutral,khanhha,-0.0027085002025828,5.309414,5.8935437,3.1430166
khanhha_original::CRACK500_20160222_164822_641_361.jpg,degraded,khanhha,-0.0226626284144479,5.5670753,5.8592224,3.227708
khanhha_original::CRACK500_20160222_164825_641_721.jpg,degraded,khanhha,-0.019368189861586,4.424508,5.9292636,3.085896
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,degraded,khanhha,-0.0216298627860888,4.7243657,6.033701,2.898299
khanhha_original::CRACK500_20160222_164936_641_361.jpg,neutral,khanhha,0.0096447957776096,4.420616,6.0481215,2.9031284
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,neutral,khanhha,0.0007862018271812,4.9772997,5.9477844,2.9837003
khanhha_original::CRACK500_20160222_165037_1_361.jpg,degraded,khanhha,-0.0143437867972231,3.771147,6.452201,2.7008877
khanhha_original::CRACK500_20160222_165037_641_361.jpg,degraded,khanhha,-0.0119592177075171,4.395702,6.0048485,2.9831834
khanhha_original::CRACK500_20160222_165218_641_1.jpg,degraded,khanhha,-0.0174980286878584,5.5505357,5.83337,3.1928823
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,degraded,khanhha,-0.0400610037986133,5.6707873,5.8627725,3.1430933
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,degraded,khanhha,-0.04071848938722,5.63884,5.894576,3.1447113
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,neutral,khanhha,0.0064186306275671,4.3871136,5.9856396,3.0015132
khanhha_original::CRACK500_20160222_165256_641_1.jpg,degraded,khanhha,-0.0622470639304503,5.603653,5.8482137,3.1451216
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,improved,khanhha,0.0432398454000775,5.220322,6.060726,2.9757116
khanhha_original::CRACK500_20160222_165909_1281_1081.jpg,neutral,khanhha,0.0028013090264542,5.0725613,5.924436,3.1026828
khanhha_original::CRACK500_20160222_165919_1_721.jpg,degraded,khanhha,-0.0383342005063709,5.6659365,5.7780104,3.3358428
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,improved,khanhha,0.0116736208889219,4.502389,5.9213395,3.030937
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,neutral,khanhha,0.0072667102931227,4.043683,5.9700513,3.1525054
khanhha_original::CRACK500_20160222_165951_1921_1.jpg,degraded,khanhha,-0.0113611202113032,4.378501,5.847282,3.0877373
khanhha_original::CRACK500_20160225_114503_1_361.jpg,neutral,khanhha,-0.0079758764458578,4.5034156,5.8121877,3.197907
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,neutral,khanhha,-0.0025247538678551,4.203554,5.659356,4.5539317
khanhha_original::CRACK500_20160225_114514_721_641.jpg,neutral,khanhha,0.0053641233745586,4.2380877,5.1550307,4.729043
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,neutral,khanhha,-0.0007598949426797,4.55551,6.0382047,2.8647041
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,degraded,khanhha,-0.0157957801222333,4.594268,6.219527,2.6861525
khanhha_original::CRACK500_20160225_114535_1_1.jpg,improved,khanhha,0.018642694862774,5.647892,5.909199,3.1270766
khanhha_original::CRACK500_20160302_155848_1281_361.jpg,degraded,khanhha,-0.0120144805469224,3.8529923,6.9778547,2.856765
khanhha_original::CRACK500_20160302_155848_1921_361.jpg,improved,khanhha,0.012860525309887,3.4613268,7.038691,3.0055285
khanhha_original::CRACK500_20160302_155848_641_721.jpg,neutral,khanhha,0.0073497257098293,3.6467113,6.8618555,3.1501088
khanhha_original::CRACK500_20160302_155857_1281_1.jpg,degraded,khanhha,-0.05127034457478,5.532826,6.636501,3.2718775
khanhha_original::CRACK500_20160302_155857_1_721.jpg,neutral,khanhha,-0.00785821072237,3.8005404,6.729295,3.2392974
khanhha_original::CRACK500_20160302_155914_1081_641.jpg,neutral,khanhha,-0.0037528064072522,5.6799808,6.2168207,3.7694685
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,degraded,khanhha,-0.0350631137478705,5.663587,6.306041,3.0620046
khanhha_original::CRACK500_20160302_155919_641_1.jpg,neutral,khanhha,0.0034167534597158,4.5759487,6.6893363,3.3173926
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,neutral,khanhha,-0.0070357078535311,4.602613,6.3622217,3.174278
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,degraded,khanhha,-0.0692967126129682,3.9735763,6.803452,3.2636883
khanhha_original::CRACK500_20160302_155925_641_361.jpg,degraded,khanhha,-0.0624657110064724,5.7069225,6.5974555,3.220844
khanhha_original::CRACK500_20160302_160033_641_361.jpg,improved,khanhha,0.0130783268596798,4.521864,6.5143375,2.7215624
khanhha_original::CRACK500_20160303_091830_361_1281.jpg,neutral,khanhha,-0.0067883718925948,4.629521,7.0262766,3.4502027
khanhha_original::CRACK500_20160303_092627_641_721.jpg,degraded,khanhha,-0.0229732152527071,5.1056776,6.4621625,2.7944007
khanhha_original::CRACK500_20160303_092806_1281_721.jpg,degraded,khanhha,-0.0155726875793812,5.3870883,5.9616227,3.2133949
khanhha_original::CRACK500_20160303_092806_1_721.jpg,neutral,khanhha,-0.0002514738455154,5.4854984,5.955529,3.2084482
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,neutral,khanhha,-0.0082936549528102,5.226815,5.911209,3.091096
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,neutral,khanhha,-0.0034280189996103,4.467166,5.8024426,3.2474644
khanhha_original::CRACK500_20160303_092839_641_721.jpg,neutral,khanhha,-0.0086050053607364,4.4123654,5.799892,3.2473423
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,neutral,khanhha,-0.0014370227738418,3.6579535,6.631415,2.686596
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,neutral,khanhha,0.0063368705361834,5.043742,6.397734,2.673334
