image_id,category,domain,delta_iou,umap_1,umap_2,umap_3
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,improved,khanhha,0.0230023029906272,7.0887856,-3.1710863,10.033365
khanhha_original::CRACK500_20160222_163940_1_361.jpg,improved,khanhha,0.0122966381810233,7.1104164,-3.1783433,9.993431
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,neutral,khanhha,-0.0048359521603076,7.153288,-3.2713528,9.617152
khanhha_original::CRACK500_20160222_164141_1281_1.jpg,neutral,khanhha,0.007611500665304,7.0989103,-3.0787163,9.85639
khanhha_original::CRACK500_20160222_164141_1921_721.jpg,neutral,khanhha,0.0045615023559186,7.1271853,-3.028756,9.577506
khanhha_original::CRACK500_20160222_164141_1_1081.jpg,neutral,khanhha,0.0055611848281974,7.1871557,-3.2340767,9.080549
khanhha_original::CRACK500_20160222_164822_1281_1.jpg,improved,khanhha,0.0758985182944791,7.3839974,-3.5960152,8.954509
khanhha_original::CRACK500_20160222_164822_641_1.jpg,neutral,khanhha,-0.0027085002025828,7.370366,-3.592034,8.982485
khanhha_original::CRACK500_20160222_164822_641_361.jpg,degraded,khanhha,-0.0226626284144479,7.3884344,-3.636441,8.988333
khanhha_original::CRACK500_20160222_164825_641_721.jpg,degraded,khanhha,-0.019368189861586,7.2085414,-3.2997077,9.299382
khanhha_original::CRACK500_20160222_164851_641_1081.jpg,degraded,khanhha,-0.0216298627860888,7.3660693,-3.5906992,9.17165
khanhha_original::CRACK500_20160222_164936_641_361.jpg,neutral,khanhha,0.0096447957776096,7.3241653,-3.6823437,9.216249
khanhha_original::CRACK500_20160222_165037_1921_361.jpg,neutral,khanhha,0.0007862018271812,7.3114634,-3.5846498,9.037669
khanhha_original::CRACK500_20160222_165037_1_361.jpg,degraded,khanhha,-0.0143437867972231,7.163428,-3.4424531,9.36275
khanhha_original::CRACK500_20160222_165037_641_361.jpg,degraded,khanhha,-0.0119592177075171,7.2514224,-3.495567,9.1595335
khanhha_original::CRACK500_20160222_165218_641_1.jpg,degraded,khanhha,-0.0174980286878584,7.337263,-3.535566,8.9466505
khanhha_original::CRACK500_20160222_165225_1281_721.jpg,degraded,khanhha,-0.0400610037986133,7.296701,-3.5214407,8.946168
khanhha_original::CRACK500_20160222_165256_1281_1.jpg,degraded,khanhha,-0.04071848938722,7.3444924,-3.5741339,8.93588
khanhha_original::CRACK500_20160222_165256_1281_721.jpg,neutral,khanhha,0.0064186306275671,7.187515,-3.300456,9.162695
khanhha_original::CRACK500_20160222_165256_641_1.jpg,degraded,khanhha,-0.0622470639304503,7.3437047,-3.5775332,8.909331
khanhha_original::CRACK500_20160222_165715_1921_721.jpg,improved,khanhha,0.0432398454000775,7.23479,-3.49271,9.029872
khanhha_original::CRACK500_20160222_165909_1281_1081.jpg,neutral,khanhha,0.0028013090264542,7.316624,-3.5317278,8.994777
khanhha_original::CRACK500_20160222_165919_1_721.jpg,degraded,khanhha,-0.0383342005063709,7.3138723,-3.5437415,8.984844
khanhha_original::CRACK500_20160222_165926_1281_721.jpg,improved,khanhha,0.0116736208889219,7.187002,-3.314441,9.119929
khanhha_original::CRACK500_20160222_165947_1921_721.jpg,neutral,khanhha,0.0072667102931227,7.156442,-3.3492293,9.058544
khanhha_original::CRACK500_20160222_165951_1921_1.jpg,degraded,khanhha,-0.0113611202113032,7.169563,-3.3211641,9.187198
khanhha_original::CRACK500_20160225_114503_1_361.jpg,neutral,khanhha,-0.0079758764458578,7.190017,-3.2136037,9.159799
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,neutral,khanhha,-0.0025247538678551,7.1552567,-3.2716987,9.4812155
khanhha_original::CRACK500_20160225_114514_721_641.jpg,neutral,khanhha,0.0053641233745586,7.141553,-3.1402655,9.611299
khanhha_original::CRACK500_20160225_114535_1281_1081.jpg,neutral,khanhha,-0.0007598949426797,7.3427835,-3.6743088,9.131716
khanhha_original::CRACK500_20160225_114535_1921_1081.jpg,degraded,khanhha,-0.0157957801222333,7.440464,-3.8155637,9.16209
khanhha_original::CRACK500_20160225_114535_1_1.jpg,improved,khanhha,0.018642694862774,7.4047556,-3.6616974,8.991964
khanhha_original::CRACK500_20160302_155848_1281_361.jpg,degraded,khanhha,-0.0120144805469224,7.3808684,-3.3760755,10.089296
khanhha_original::CRACK500_20160302_155848_1921_361.jpg,improved,khanhha,0.012860525309887,7.3029914,-3.4331894,10.465234
khanhha_original::CRACK500_20160302_155848_641_721.jpg,neutral,khanhha,0.0073497257098293,7.2879834,-3.3175294,10.191915
khanhha_original::CRACK500_20160302_155857_1281_1.jpg,degraded,khanhha,-0.05127034457478,7.792637,-3.600955,9.668709
khanhha_original::CRACK500_20160302_155857_1_721.jpg,neutral,khanhha,-0.00785821072237,7.475303,-3.543927,10.276968
khanhha_original::CRACK500_20160302_155914_1081_641.jpg,neutral,khanhha,-0.0037528064072522,7.5359373,-3.5041642,9.821753
khanhha_original::CRACK500_20160302_155919_1281_721.jpg,degraded,khanhha,-0.0350631137478705,7.479834,-3.0169556,9.065171
khanhha_original::CRACK500_20160302_155919_641_1.jpg,neutral,khanhha,0.0034167534597158,7.604128,-3.6911802,10.135821
khanhha_original::CRACK500_20160302_155919_641_1081.jpg,neutral,khanhha,-0.0070357078535311,7.710745,-3.7215698,9.802387
khanhha_original::CRACK500_20160302_155925_1281_361.jpg,degraded,khanhha,-0.0692967126129682,7.4827285,-3.6154041,10.44793
khanhha_original::CRACK500_20160302_155925_641_361.jpg,degraded,khanhha,-0.0624657110064724,7.7431026,-3.7064826,9.532048
khanhha_original::CRACK500_20160302_160033_641_361.jpg,improved,khanhha,0.0130783268596798,7.5163207,-3.689251,9.668748
khanhha_original::CRACK500_20160303_091830_361_1281.jpg,neutral,khanhha,-0.0067883718925948,7.610047,-3.6147423,10.057362
khanhha_original::CRACK500_20160303_092627_641_721.jpg,degraded,khanhha,-0.0229732152527071,7.595394,-3.6578746,9.663837
khanhha_original::CRACK500_20160303_092806_1281_721.jpg,degraded,khanhha,-0.0155726875793812,7.391769,-2.9750392,8.954322
khanhha_original::CRACK500_20160303_092806_1_721.jpg,neutral,khanhha,-0.0002514738455154,7.3621583,-3.0675325,8.981005
khanhha_original::CRACK500_20160303_092839_1281_361.jpg,neutral,khanhha,-0.0082936549528102,7.315151,-2.9553907,9.009823
khanhha_original::CRACK500_20160303_092839_1281_721.jpg,neutral,khanhha,-0.0034280189996103,7.241204,-2.9558065,9.110268
khanhha_original::CRACK500_20160303_092839_641_721.jpg,neutral,khanhha,-0.0086050053607364,7.247844,-2.9495854,9.09536
khanhha_original::CRACK500_20160303_093353_1921_361.jpg,neutral,khanhha,-0.0014370227738418,7.0771904,-3.370928,9.68894
khanhha_original::CRACK500_20160303_093353_1921_721.jpg,neutral,khanhha,0.0063368705361834,7.571615,-3.9578774,9.246832
khanhha_original::CRACK500_20160303_093400_641_1.jpg,neutral,khanhha,0.0058623529571693,7.360443,-3.6080985,9.340341
khanhha_original::CRACK500_20160303_093400_641_721.jpg,improved,khanhha,0.0286903695682552,7.3058305,-3.453151,10.028201
khanhha_original::CRACK500_20160303_093527_1281_361.jpg,neutral,khanhha,0.0039714154386215,7.382334,-3.5090373,10.339596
khanhha_original::CRACK500_20160303_093537_1921_1081.jpg,improved,khanhha,0.0171342335122448,7.725976,-3.8301284,9.961217
khanhha_original::CRACK500_20160306_103613_1_721.jpg,neutral,khanhha,-0.003560122842645,7.5441294,-3.6267555,9.814838
khanhha_original::CRACK500_20160306_103638_1921_1081.jpg,degraded,khanhha,-0.0163510925685373,7.624396,-3.7728736,9.451784
khanhha_original::CRACK500_20160306_103638_1_361.jpg,degraded,khanhha,-0.0323021086813889,7.598782,-3.7489316,9.337115
khanhha_original::CRACK500_20160306_103657_1921_721.jpg,improved,khanhha,0.0403988697086071,7.3947177,-3.5329745,10.3715925
khanhha_original::CRACK500_20160306_103657_641_721.jpg,neutral,khanhha,0.0014868002575559,7.394715,-3.541532,9.978674
khanhha_original::CRACK500_20160306_103816_1_721.jpg,neutral,khanhha,0.000702324397826,7.4209404,-3.5674038,10.337721
khanhha_original::CRACK500_20160306_103830_1921_1081.jpg,neutral,khanhha,0.001354616901062,7.757321,-3.9846323,9.5415325
khanhha_original::CRACK500_20160306_103903_1281_361.jpg,degraded,khanhha,-0.029524656837824,7.677578,-3.8940573,9.454908
khanhha_original::CRACK500_20160306_103903_641_361.jpg,neutral,khanhha,-0.0001940157986425,7.3977213,-3.5702264,9.465591
khanhha_original::CRACK500_20160306_104522_1921_361.jpg,improved,khanhha,0.0283299876748521,7.564285,-3.871106,9.506846
khanhha_original::CRACK500_20160306_104522_1921_721.jpg,neutral,khanhha,-0.0085296844528278,7.717896,-3.9208674,9.383875
khanhha_original::CRACK500_20160306_104522_641_721.jpg,neutral,khanhha,0.0052114239991765,7.553876,-3.634333,9.670324
khanhha_original::CRACK500_20160306_104527_1921_721.jpg,neutral,khanhha,0.0055760699859174,7.225435,-3.382794,10.405205
khanhha_original::CRACK500_20160306_104527_641_361.jpg,neutral,khanhha,-0.0028831659863063,7.244324,-3.387954,10.077771
khanhha_original::CRACK500_20160307_143827_1_721.jpg,neutral,khanhha,0.0043114221417273,7.4230423,-3.5513163,10.456706
khanhha_original::CRACK500_20160307_144115_1281_1.jpg,improved,khanhha,0.0123373404507997,7.2536488,-3.7276871,9.432605
khanhha_original::CRACK500_20160307_144150_1281_721.jpg,neutral,khanhha,0.0022152317402657,7.2691517,-2.9998126,9.224197
khanhha_original::CRACK500_20160307_144150_641_361.jpg,neutral,khanhha,0.0053042414902885,7.250347,-2.9511254,9.118143
khanhha_original::CRACK500_20160307_144202_1281_361.jpg,degraded,khanhha,-0.0118830870539662,7.336256,-3.0307393,9.267431
khanhha_original::CRACK500_20160307_144202_1281_721.jpg,improved,khanhha,0.014804329310339,7.392753,-3.0022771,9.224457
khanhha_original::CRACK500_20160307_144842_1281_1.jpg,neutral,khanhha,-0.0032209401705558,7.574628,-3.6892984,10.2162695
khanhha_original::CRACK500_20160307_144842_1281_1081.jpg,neutral,khanhha,0.0043278590594062,7.6516247,-3.7410429,9.905167
khanhha_original::CRACK500_20160307_144916_1281_361.jpg,improved,khanhha,0.0309048026619479,7.6131682,-3.8402805,9.432896
khanhha_original::CRACK500_20160307_144916_1921_721.jpg,degraded,khanhha,-0.0156515541787515,7.358923,-3.508455,10.061888
khanhha_original::CRACK500_20160307_144924_1281_361.jpg,improved,khanhha,0.0400851298638199,7.6015244,-3.9087558,9.477677
khanhha_original::CRACK500_20160307_144924_641_361.jpg,neutral,khanhha,-0.000714981501653,7.66895,-3.9601014,9.452492
khanhha_original::CRACK500_20160307_144931_1281_1.jpg,neutral,khanhha,-0.0062592993281777,7.5756483,-3.9038832,9.346696
khanhha_original::CRACK500_20160307_144931_641_721.jpg,degraded,khanhha,-0.0243998412947556,7.6497946,-3.789933,9.687756
khanhha_original::CRACK500_20160307_145059_1921_361.jpg,degraded,khanhha,-0.0160751325430891,7.0734205,-2.680501,9.09631
khanhha_original::CRACK500_20160307_145107_1281_721.jpg,neutral,khanhha,0.0059066203652853,7.2123947,-2.9885097,9.012198
khanhha_original::CRACK500_20160307_145107_1_1.jpg,improved,khanhha,0.0129103933955434,-2.806593,0.7251143,7.451042
khanhha_original::CRACK500_20160307_145259_1921_721.jpg,improved,khanhha,0.0103822039410417,7.1900334,-3.3300416,9.008655
khanhha_original::CRACK500_20160307_145259_1_361.jpg,neutral,khanhha,0.0020073118952038,7.035205,-3.2620635,9.451674
khanhha_original::CRACK500_20160307_162438_1921_1081.jpg,neutral,khanhha,-0.0015019544476827,7.223686,-3.3749797,9.237294
khanhha_original::CRACK500_20160307_162438_1921_721.jpg,degraded,khanhha,-0.0126061299095223,7.1057262,-3.3679376,9.531819
khanhha_original::CRACK500_20160307_163537_1281_721.jpg,degraded,khanhha,-0.0313496843770675,7.544031,-3.5888133,9.276267
khanhha_original::CRACK500_20160307_163537_641_361.jpg,neutral,khanhha,-0.0078207903394939,7.4162645,-3.6778214,9.0149
khanhha_original::CRACK500_20160307_163537_641_721.jpg,neutral,khanhha,-0.0056646701492085,7.190049,-3.22901,9.786583
khanhha_original::CRACK500_20160307_163627_641_721.jpg,improved,khanhha,0.0117797609539718,7.6326375,-3.9231544,9.236683
khanhha_original::CRACK500_20160307_163641_1921_361.jpg,neutral,khanhha,0.0013987969587738,7.274042,-3.532441,9.85629
khanhha_original::CRACK500_20160307_164214_1281_1081.jpg,improved,khanhha,0.0303378734968381,7.174052,-3.2883406,9.101301
khanhha_original::CRACK500_20160307_164214_1_721.jpg,degraded,khanhha,-0.0205259147021722,7.099814,-3.2882173,9.421406
khanhha_original::CRACK500_20160307_164226_1921_721.jpg,neutral,khanhha,-0.0042737533396113,7.146545,-3.3070562,9.108066
khanhha_original::CRACK500_20160307_164226_1_721.jpg,improved,khanhha,0.0180183576783319,7.1278434,-3.3012502,9.406943
khanhha_original::CRACK500_20160307_164226_641_721.jpg,neutral,khanhha,0.0012735074740966,7.094071,-3.221498,9.639558
khanhha_original::CRACK500_20160307_164301_641_361.jpg,neutral,khanhha,0.0036806848904129,7.120104,-3.325546,9.49669
khanhha_original::CRACK500_20160307_164334_641_1.jpg,degraded,khanhha,-0.0303345643443215,7.2894993,-3.8857558,9.123256
khanhha_original::CRACK500_20160307_164334_641_361.jpg,neutral,khanhha,0.0098489684670248,7.3060365,-3.6822336,9.103015
khanhha_original::CRACK500_20160307_164400_641_1.jpg,degraded,khanhha,-0.014266393837491,7.272327,-3.5596402,9.082039
khanhha_original::CRACK500_20160307_164517_1921_361.jpg,degraded,khanhha,-0.0182431153427147,7.1823015,-3.4194698,9.055139
khanhha_original::CRACK500_20160308_072824_641_1.jpg,neutral,khanhha,0.0002325231744483,7.5488997,-3.9227865,9.429002
khanhha_original::CRACK500_20160308_072921_1281_1081.jpg,degraded,khanhha,-0.0116575044632598,7.760615,-4.0153513,9.403724
khanhha_original::CRACK500_20160308_072921_1281_361.jpg,degraded,khanhha,-0.0150163244114266,7.681666,-3.895839,9.417139
khanhha_original::CRACK500_20160308_072921_641_1081.jpg,degraded,khanhha,-0.0122229988890639,7.455423,-3.6126301,9.969418
khanhha_original::CRACK500_20160308_072921_641_721.jpg,improved,khanhha,0.0234470766730769,7.549428,-3.6587744,9.7324705
khanhha_original::CRACK500_20160308_072951_641_721.jpg,neutral,khanhha,-0.0056999871473555,7.3084383,-3.4582484,10.439596
khanhha_original::CRACK500_20160308_073014_1281_721.jpg,neutral,khanhha,-0.0070396369683508,7.2015967,-3.3213568,10.213551
khanhha_original::CRACK500_20160308_073245_1_361.jpg,neutral,khanhha,0.0019000006284857,7.18641,-3.4993196,9.496288
khanhha_original::CRACK500_20160308_073245_641_1.jpg,neutral,khanhha,0.0025810032882596,7.437627,-3.916552,9.174003
khanhha_original::CRACK500_20160308_073356_1281_1081.jpg,neutral,khanhha,0.004288429959927,7.3743834,-3.877987,9.177753
khanhha_original::CRACK500_20160308_073356_641_1.jpg,neutral,khanhha,-0.0083635451853426,7.3385043,-3.7933362,9.348172
khanhha_original::CRACK500_20160308_073406_641_721.jpg,neutral,khanhha,-0.0087862530790794,7.281798,-3.5517476,9.56959
khanhha_original::CRACK500_20160308_073532_1_361.jpg,degraded,khanhha,-0.014362885645081,7.2141113,-3.4969058,9.863427
khanhha_original::CRACK500_20160308_073736_1281_361.jpg,neutral,khanhha,0.0021851797747682,7.394529,-3.5777822,10.238269
khanhha_original::CRACK500_20160308_073736_641_721.jpg,degraded,khanhha,-0.1497186447774119,7.613481,-3.7974591,9.835001
khanhha_original::CRACK500_20160308_074321_1921_361.jpg,degraded,khanhha,-0.0281750738773739,7.726639,-4.016155,9.390004
khanhha_original::CRACK500_20160308_074330_1921_721.jpg,improved,khanhha,0.0109821477222968,7.5268397,-3.716053,10.225349
khanhha_original::CRACK500_20160308_074702_1281_361.jpg,improved,khanhha,0.0825153554080176,7.4064245,-3.5366054,10.528685
khanhha_original::CRACK500_20160308_074702_1921_361.jpg,degraded,khanhha,-0.020608686004471,7.3828945,-3.515539,10.564518
khanhha_original::CRACK500_20160308_074702_641_721.jpg,improved,khanhha,0.0138396539451818,7.447628,-3.5724854,10.470744
