representation,seed,silhouette_2d
mean,42,-0.021077843382954597
mean,7,-0.023342786356806755
mean,123,-0.029281416907906532
std,42,-0.018435930833220482
std,7,-0.015716552734375
std,123,-0.01743471808731556
