cohort,model,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
Toutes les observations,always_neutral,8895,0.3333333333333333,0.18901866022284872,0.39572793704328274,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009849340569106186,0.018073224586996478
Toutes les observations,mean/balanced_ba,8895,0.5357226994098144,0.5326310833268986,0.5431141090500281,0.3333333333333333,0.5643443869790082,0.7198115864727993,0.5576704545454545,0.7534102536997885,0.48515325670498083,0.6922702401798463,0.7218306934508113,0.2915120854412591,0.003487648131895692,-0.009849340569106186,0.018073224586996478
Toutes les observations,mean/uniform_ba,8895,0.5236658021110291,0.5223944096007952,0.5580663293985385,0.3333333333333333,0.6391846668694858,0.7240035205475944,0.640625,0.756593287526427,0.29118773946360155,0.6870809123130517,0.7225592401290243,0.15401911186059583,0.0035729774897539346,-0.009849340569106186,0.018073224586996478
Toutes les observations,mean/uniform_accuracy,8895,0.5176338629812279,0.5149500387872128,0.5551433389544688,0.3333333333333333,0.6422269546699118,0.7222480206684614,0.6463068181818182,0.7557758985200845,0.26436781609195403,0.6929415262742264,0.7236551484875907,0.13794266441821249,0.0032926511900566854,-0.009849340569106186,0.018073224586996478
Toutes les observations,multiscale_mean/balanced_ba,8895,0.538588278190145,0.5356896325471937,0.546486790331647,0.3333333333333333,0.5625190142987526,0.728263916947713,0.5676136363636364,0.7610357822410148,0.48563218390804597,0.6985824824231535,0.7292940605372937,0.2867903316469927,0.003948688416720901,-0.009849340569106186,0.018073224586996478
Toutes les observations,multiscale_mean/uniform_ba,8895,0.529002018800618,0.5288966974138705,0.5611017425519955,0.3333333333333333,0.6297535746881655,0.7305309313002808,0.6440340909090909,0.7620118921775898,0.3132183908045977,0.6967955991887999,0.7297794742222234,0.1611017425519955,0.003808576214842442,-0.009849340569106186,0.018073224586996478
Toutes les observations,multiscale_mean/uniform_accuracy,8895,0.5265032609003568,0.5257438013971525,0.5604272062956718,0.3333333333333333,0.6364466078491026,0.7312704003624707,0.6451704545454545,0.763173044397463,0.2978927203065134,0.6995150782916166,0.7313195076838501,0.152557616638561,0.003641865171145812,-0.009849340569106186,0.018073224586996478
Toutes les observations,pre_global_mean/balanced_ba,8895,0.5338780993947179,0.5306310853416177,0.5408656548622822,0.3333333333333333,0.5606936416184971,0.7191730749283803,0.5548295454545454,0.7542019027484144,0.4861111111111111,0.7000911699529502,0.7244887158765817,0.2919617762788083,0.003869090468311535,-0.009849340569106186,0.018073224586996478
Toutes les observations,pre_global_mean/uniform_ba,8895,0.5176568848972151,0.5166522927345927,0.5524451939291737,0.3333333333333333,0.6285366595679951,0.7188841986349198,0.6409090909090909,0.7566113636363636,0.2835249042145594,0.6979111963287735,0.7244689195333524,0.14356379988757728,0.0027868231800445985,-0.009849340569106186,0.018073224586996478
Toutes les observations,pre_global_mean/uniform_accuracy,8895,0.5163951807607458,0.5149171393021246,0.5523327712197864,0.3333333333333333,0.6404015819896562,0.7190569276712351,0.6357954545454545,0.7555867864693446,0.27298850574712646,0.6984573858215596,0.7243670333207132,0.1340078695896571,0.002976917476917813,-0.009849340569106186,0.018073224586996478
