family,case_id,map,seed,image_size,angle_deg,width_px,blur_px,noise_sigma,abstention_threshold,line_center_mean,line_center_q95,line_center_max,step_boundary_mean,step_boundary_q95,step_boundary_max,line_global_mean,line_global_q95,line_global_q99,line_global_max,line_global_active_fraction_010,line_global_abstention_fraction_010,line_global_abstains_q99_010,step_global_mean,step_global_q95,step_global_q99,step_global_max,step_global_active_fraction_010,step_global_abstention_fraction_010,step_global_abstains_q99_010,step_to_line_ratio_mean,step_to_line_ratio_mean_defined,step_to_line_ratio_q95,step_to_line_ratio_q95_defined,wide_center_mean,wide_center_q95,wide_center_max,wide_edges_mean,wide_edges_q95,wide_edges_max,global_mean,global_q95,global_q99,global_max,global_active_fraction_010,global_abstention_fraction_010,global_abstains_q99_010,dark_center_mean,dark_center_q95,dark_center_max,bright_center_mean,bright_center_q95,bright_center_max,bright_global_mean,bright_global_q95,bright_global_q99,bright_global_max,bright_global_active_fraction_010,bright_global_abstention_fraction_010,bright_global_abstains_q99_010,bright_to_dark_ratio_q95,bright_to_dark_ratio_q95_defined,nuisance_mean,nuisance_q95,nuisance_max,shadow_angle_deg,shadow_blur_px,clean_center_mean,clean_center_q95,clean_center_max,lit_center_mean,lit_center_q95,lit_center_max,shadowed_center_mean,shadowed_center_q95,shadowed_center_max,shadow_boundary_mean,shadow_boundary_q95,shadow_boundary_max,shadowed_global_mean,shadowed_global_q95,shadowed_global_q99,shadowed_global_max,shadowed_global_active_fraction_010,shadowed_global_abstention_fraction_010,shadowed_global_abstains_q99_010,shadowed_crack_retention_mean,shadowed_crack_retention_mean_defined,shadow_boundary_to_clean_ratio_q95,shadow_boundary_to_clean_ratio_q95_defined
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,frangi_similarity_historical,20260808,128,0.0,2.0,0.7,0.0,0.1,0.9996631741523743,0.9996631741523743,0.9996631741523743,0.4371671490371227,0.9996620416641235,0.9996620416641235,0.06233921895424525,0.9951819181442261,0.9996631741523743,0.9996631741523743,0.0625,0.9375,0,0.1665220856666565,0.9992703199386597,0.9996620416641235,0.9996620416641235,0.16666666666666666,0.8333333333333334,0,0.43731444784669765,1,0.9999988671301694,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,frangi_relative,20260808,128,0.0,2.0,0.7,0.0,0.1,0.8646647334098816,0.8646647334098816,0.8646647334098816,0.2482440136373043,0.8646647334098816,0.8646647334098816,0.033115013192097344,0.12613964080810547,0.8646647334098816,0.8646647334098816,0.0625,0.9375,0,0.041441780204574265,0.34361565113067627,0.8646647334098816,0.8646647334098816,0.08333333333333333,0.9166666666666666,0,0.2870985759513195,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,black_tophat,20260808,128,0.0,2.0,0.7,0.0,0.1,0.9999522566795349,0.9999522566795349,0.9999522566795349,0.0,0.0,0.0,0.07790198922157288,0.9971590042114258,0.9999522566795349,0.9999522566795349,0.08333333333333333,0.9166666666666666,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,derivative_pair,20260808,128,0.0,2.0,0.7,0.0,0.1,0.7135783433914185,0.7135783433914185,0.7135783433914185,0.13332666270434856,0.42116817831993103,0.42116817831993103,0.01877851877361536,0.0,0.7135783433914185,0.7135783433914185,0.041666666666666664,0.9583333333333334,0,0.029344112301866215,0.3575305938720703,0.42116817831993103,0.42116817831993103,0.08333333333333333,0.9166666666666666,0,0.1868423613736481,1,0.590219955833088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,paired_profile,20260808,128,0.0,2.0,0.7,0.0,0.1,0.9989528059959412,0.9989528059959412,0.9989528059959412,0.0,0.0,0.0,0.05166148518522581,0.49595820903778076,0.9989528059959412,0.9989528059959412,0.0625,0.9375,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,line_step_bic,20260808,128,0.0,2.0,0.7,0.0,0.1,0.976545125246048,0.9765452742576599,0.9765452742576599,0.24000773951411247,0.9798893332481384,0.9798893332481384,0.036525956355035305,0.32446956634521484,0.9765452742576599,0.9765452742576599,0.0625,0.9375,0,0.040001289919018745,0.43153685331344604,0.9798893332481384,0.9798893332481384,0.0625,0.9375,0,0.24577229798125375,1,1.003424376809381,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,phase_symmetry,20260808,128,0.0,2.0,0.7,0.0,0.1,0.9750221967697144,0.9750221967697144,0.9750221967697144,0.6383562220726162,0.9855206608772278,0.9855206608772278,0.16911658365279436,0.9616639614105225,0.9750221967697144,0.9750221967697144,0.2708333333333333,0.7291666666666667,0,0.21774538749984154,0.9810710549354553,0.9855206608772278,0.9855206608772278,0.2708333333333333,0.7291666666666667,0,0.6547094252700243,1,1.0107674103649078,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,ofs,20260808,128,0.0,2.0,0.7,0.0,0.1,0.7708681225776672,0.7708681225776672,0.7708681225776672,0.10558701492846012,0.38392525911331177,0.38392525911331177,0.06427763526638348,0.7474476099014282,0.8459145426750183,0.8459145426750183,0.08333333333333333,0.9166666666666666,0,0.01759783582141002,0.26577863097190857,0.38392525911331177,0.38392525911331177,0.0625,0.9375,0,0.13697156729661228,1,0.49804272335133454,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,ofs_reflectance,20260808,128,0.0,2.0,0.7,0.0,0.1,0.7708681225776672,0.7708681225776672,0.7708681225776672,0.2969219330698252,0.9826195240020752,0.9826195240020752,0.06427763526638348,0.7474476099014282,0.8459145426750183,0.8459145426750183,0.08333333333333333,0.9166666666666666,0,0.0498610255647994,0.7220285534858704,0.9826195240020752,0.9826195240020752,0.0625,0.9375,0,0.38517863740034136,1,1.274692123363907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_line_vs_shadow_step,pair_a0_w2_b0p7_n0,fusion_ofs_profile,20260808,128,0.0,2.0,0.7,0.0,0.1,0.877531111240387,0.877531111240387,0.877531111240387,0.0,0.0,0.0,0.0485228622953097,0.6088536381721497,0.877531111240387,0.877531111240387,0.0625,0.9375,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
