cohort,map,physical_scenes,observations,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
pooled_original,black_tophat,30,30,0.15497063614659162,0.1639654801898916,0.12036691491854386,0.1904350668992548,0.32709163346613546,0.29282868525896416,0.2303452855245684,0.4248339973439575,0.46614808805555286,0.4276519550909794,0.35097516252463523,0.5793142691654188,0.0912488647115727,0.0734087154269218,0.06289019833706938,0.12447560758795585,0.34098174426020395,0.33547911352040816,0.3214382540125425,0.3611992453231292
pooled_original,derivative_pair,30,30,0.07388116505670027,0.061000746465564346,0.055692129902660585,0.09461392583321908,0.11839309428950857,0.1095617529880478,0.08313247011952189,0.16042994687914996,0.3677396441909071,0.35758377425044086,0.2891999392109933,0.4414039272668494,0.06793694983546929,0.04583960771560665,0.043632492299657294,0.09704241386459515,0.3991629464285714,0.41618502869897955,0.36741219241602896,0.42123927109906456
pooled_original,frangi_relative,30,30,0.08980671247791977,0.06782892561228365,0.06599231486362875,0.11585711695925754,0.16567065073041162,0.0567729083665338,0.09561254980079677,0.24667994687915,0.2974558800790142,0.16737198476512904,0.1900532297619565,0.4102986970750235,0.08308328390121457,0.047465313225984504,0.052909874663067326,0.11575847962250307,0.08136957908163261,0.07918128188775506,0.05992926565157308,0.10371907552083327
pooled_original,frangi_similarity_historical,30,30,0.34396681652999034,0.296780708620167,0.2390871276884389,0.4531576615670604,0.4146082337317398,0.34063745019920316,0.2806059096945552,0.5478768260292165,0.25618998463603354,0.2227354226933705,0.17572437029706567,0.341249424509487,0.22762466888719546,0.13344342634081835,0.1455611005134415,0.31803702380294757,0.1914580676020408,0.194644850127551,0.16701631922300164,0.2150679441698554
pooled_original,fusion_ofs_profile,30,30,0.1855733526361387,0.14418716366928946,0.13282452260667202,0.24871016191574996,0.3229083665338645,0.27689243027888444,0.20889608233731732,0.44229913678618843,0.4276512346819074,0.4018959435626102,0.3099476798806735,0.5428559646749381,0.44682792083670697,0.40270601212978363,0.32581986697235454,0.5675965762479852,0.01451557185374145,0.0063875159438775,0.008540570525084987,0.021554860225340082
pooled_original,fusion_precision,30,30,0.18482363645290906,0.1420618784590763,0.13185155355977346,0.24822238270866873,0.32177954847277557,0.28784860557768926,0.20836321381142098,0.4421713147410357,0.4344400874588453,0.4018959435626102,0.3136948306067255,0.5556394739805743,0.4370529257381956,0.383716881275177,0.3202153606247157,0.5571437298149492,0.016117931547618997,0.0072046396683672995,0.009626016422193835,0.023847573208971032
pooled_original,fusion_reflectance,30,30,0.1842231631025039,0.14287086958053524,0.1300438626698214,0.24921767861684946,0.3146746347941567,0.2729083665338645,0.2037184594953519,0.4346630146082337,0.4278519013061869,0.39868028948488715,0.31366230304208287,0.5436951557387516,0.4261029614135623,0.34301695227622986,0.3065585968721037,0.5476505520908782,0.01787375106292512,0.0075932716836734,0.010772049053996556,0.02630033947172614
pooled_original,line_step_bic,30,30,0.14705613145816912,0.14056628486203332,0.11409784973791526,0.18343071509513864,0.29820717131474095,0.2788844621513944,0.20896082337317395,0.39283366533864544,0.45829440220085504,0.4681424719738896,0.3485468301584719,0.5681282008052195,0.12086859180902439,0.10630764439702031,0.08414761664268249,0.16331407436712952,0.21713236075680264,0.2329500159438775,0.1851611826371173,0.24833338315795064
pooled_original,ofs,30,30,0.19500619481493364,0.147077248133758,0.13594178926526687,0.26455429969057104,0.3181938911022576,0.24003984063745015,0.20690571049136786,0.43951361221779545,0.40455746055408526,0.3742017879948914,0.2924392009783981,0.5162711886634532,0.4634332776069641,0.4331320524215698,0.33807850746748347,0.5880835053883493,0.010747502125850296,0.0025510204081632,0.004880005713222752,0.01822413438031457
pooled_original,ofs_reflectance,30,30,0.19431469955847522,0.14537841674081486,0.13372238912144518,0.2637966202294135,0.31122177954847274,0.19920318725099595,0.19859893758300132,0.43552622841965466,0.38876276218531675,0.32304045717254365,0.2806396127508914,0.49881552240722615,0.4554308739801248,0.43568840622901917,0.3323376274419328,0.579741512828817,0.011675568664965948,0.00270049426020405,0.005606182902848596,0.01949150656356288
pooled_original,paired_profile,30,30,0.1337505079263958,0.14278296553730904,0.10705715610577074,0.1600171815520002,0.2953519256308101,0.2619521912350597,0.20783532536520583,0.3857254316069057,0.4734835419725129,0.5136937703987512,0.3637467632528428,0.5805402199438499,0.07050904007628556,0.0616767778992652,0.0509208210619787,0.09194222112186248,0.4435686383928571,0.4476741868622448,0.4367842361553996,0.4497690130739795
pooled_original,phase_symmetry,30,30,0.20593000682554333,0.18077368754557474,0.15281026645969917,0.2632075517988282,0.3452191235059761,0.3336653386454183,0.24973107569721115,0.4486719787516601,0.5347317563117033,0.6353330577468508,0.4179847286690459,0.6466972972905638,0.10098788724280891,0.07977129891514775,0.06758211362602497,0.1410386365042844,0.3402961575255102,0.34472656249999994,0.33153361833014444,0.3483359906462585
pooled_original,verified_frangi_bic,30,30,0.20496992037716152,0.185956131557968,0.15302259499967164,0.2600697858073376,0.3549136786188579,0.31872509960159356,0.23996347941567062,0.4765006640106241,0.40020425667878345,0.41333698230249954,0.29242885847896244,0.5081030399917085,0.23333147391676903,0.18280785530805585,0.15072607391358664,0.325438781317013,0.10420918367346935,0.0810945471938775,0.08495097257653057,0.12443997130102036
