shadow_kind,map,n,crack_retention_median,boundary_response_increase_mean,shadow_boundary_response_mean
curved,black_tophat,16,0.9966040387074245,-0.017676712712273,0.126367551041767
curved,derivative_pair,16,0.9996114231469742,-0.042116917902603745,0.11953925644047558
curved,frangi_relative,16,0.8756200232764405,-0.012680587926297449,0.017028228932758793
curved,frangi_similarity_historical,16,0.9159525611728687,0.03785573316872615,0.10649695784013602
curved,fusion_ofs_profile,16,0.9675360904262441,6.125053914729506e-05,0.0025325585405084894
curved,fusion_precision,16,0.9713900204689357,6.96336422265631e-05,0.002755761500168319
curved,fusion_reflectance,16,0.9656325196651631,0.0001991271005863382,0.0032004203970927847
curved,line_step_bic,16,1.0010206580529122,0.010269213118590415,0.08234225818887353
curved,ofs,16,0.9661724361356713,9.864266512948916e-06,0.001646279372863546
curved,ofs_reflectance,16,0.9650758649785229,1.6017286043279455e-05,0.0017906966292144944
curved,paired_profile,16,0.9980680498319825,-0.024496034951880574,0.12423549056984484
curved,phase_symmetry,16,0.9970379067657885,0.008141392609104514,0.08889076998457313
curved,verified_frangi_bic,16,0.9077551863990415,0.004432941947015934,0.04004780655850482
curved,verified_frangi_consensus,16,0.901500531595308,-0.0005543258063198664,0.0023239413485498517
curved,verified_frangi_ofs,16,0.8406333436550026,-0.00048267633650311836,0.002219134144297641
curved,verified_frangi_v2,16,0.9266786227584884,-0.005494842459938809,0.027240498195169494
hard,black_tophat,16,0.991716247105581,-0.004500192124396563,0.14770452585071325
hard,derivative_pair,16,0.9875017769349329,-0.056690442841500044,0.10396389244124293
hard,frangi_relative,16,0.6025319362060811,0.006538433866808191,0.03531233800458722
hard,frangi_similarity_historical,16,0.6776724777657251,0.05878265517458203,0.1343019395171723
hard,fusion_ofs_profile,16,0.8984046776598179,0.0019682261811624358,0.0044238614139260335
hard,fusion_precision,16,0.914721280442699,0.003619465148801737,0.006213164958751349
hard,fusion_reflectance,16,0.9306840147236097,0.024252359038655413,0.027203731689951383
hard,line_step_bic,16,0.9958914120190345,0.06029060226865113,0.13119664834812284
hard,ofs,16,0.8690763671121856,0.0027788307699445625,0.004461043098832107
hard,ofs_reflectance,16,0.9088993287918808,0.016686239693626703,0.01851433863703278
hard,paired_profile,16,0.9895780999115983,-0.04800414002966136,0.09963001043070108
hard,phase_symmetry,16,0.9850192658064371,0.05517602642066777,0.13420577393844724
hard,verified_frangi_bic,16,0.7428309387579648,0.035877289839845616,0.07383533893880667
hard,verified_frangi_consensus,16,0.5824043697219058,0.005671750934766351,0.008521339541971429
hard,verified_frangi_ofs,16,0.5251225408125891,0.00971907114228543,0.012676284648591718
hard,verified_frangi_v2,16,0.7916502066458393,0.013872673400328495,0.04860119019576814
soft,black_tophat,16,0.9986817471385337,-0.008822457632049918,0.13040179410018027
soft,derivative_pair,16,0.9971622993008947,-0.0270280041731894,0.1350725879892707
soft,frangi_relative,16,0.6718409871364971,-0.012224395002704114,0.016796061740024015
soft,frangi_similarity_historical,16,0.8761097040752974,0.030942941913963296,0.0971883757301839
soft,fusion_ofs_profile,16,0.9743955880451298,-3.90619467225406e-05,0.0021166136456258755
soft,fusion_precision,16,0.9786651294929909,-4.876928142039105e-05,0.0022803021457775685
soft,fusion_reflectance,16,0.9898137178376893,2.2235792187075276e-05,0.0027617304822911137
soft,line_step_bic,16,0.999103931388339,-0.00016150251030921936,0.07077520666643977
soft,ofs,16,0.9730320016521704,-1.6573666954400323e-05,0.0012676800927806653
soft,ofs_reflectance,16,0.9820816909047224,5.311339226210521e-06,0.0014792566518231354
soft,paired_profile,16,0.9982978691153229,-0.011545568238943815,0.13555641379207373
soft,phase_symmetry,16,0.9994967861217496,0.0002563081216067076,0.07905638497322798
soft,verified_frangi_bic,16,0.8180126685803566,-0.0030214518701541238,0.03133027760486584
soft,verified_frangi_consensus,16,0.9041623948079491,-0.0002010349672900702,0.00210408480870683
soft,verified_frangi_ofs,16,0.8776360313385233,-0.00011652239959403232,0.0017876326951409283
soft,verified_frangi_v2,16,0.8529806573561994,-0.0045215361751616,0.0281352604215499
