dataset,case_name,condition,role,qualitative,map,target_fraction,score_mean,score_q99,score_max,active_fraction_010,response_mass_near_gt,ap_exact,ap_tol2,precision_top_p005,skeleton_recall_top_p005,precision_top_p01,skeleton_recall_top_p01,precision_top_p02,skeleton_recall_top_p02,precision_top_p05,skeleton_recall_top_p05
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,frangi_similarity_historical,0.014010682397959183,0.07405602186918259,0.8894541263580322,0.9978651404380798,0.21721540178571427,0.19883239269256592,0.3784059119578511,0.35710732551385105,0.7609561752988048,0.5,0.6653386454183267,0.7155963302752294,0.499003984063745,0.8256880733944955,0.29254683140693505,0.9036697247706422
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,frangi_relative,0.014010682397959183,0.0274056326597929,0.30060744285583496,0.6781730055809021,0.08244977678571429,0.10705454647541046,0.17670663203359674,0.1291644963991006,0.450199203187251,0.6055045871559633,0.350597609561753,0.7018348623853211,0.25298804780876494,0.8807339449541285,0.14467915504184933,0.9770642201834863
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,black_tophat,0.014010682397959183,0.16558301448822021,0.8645938038825989,0.932897686958313,0.313297193877551,0.08034185320138931,0.35456789706014474,0.22297554026263675,0.7370517928286853,0.8027522935779816,0.6254980079681275,0.8715596330275229,0.3804780876494024,0.9174311926605505,0.1889198884017537,0.9724770642201835
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,derivative_pair,0.014010682397959183,0.16508623957633972,0.7963401675224304,0.9630585312843323,0.3977200255102041,0.043120238929986954,0.04723322415449187,0.04532681028258778,0.099601593625498,0.3440366972477064,0.10358565737051793,0.5504587155963303,0.09163346613545817,0.8073394495412844,0.07134316460741331,0.908256880733945
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,paired_profile,0.014010682397959183,0.16015802323818207,0.764458179473877,0.9290513396263123,0.43094308035714285,0.06106327474117279,0.2086576060751676,0.13011805123728046,0.4342629482071713,0.6330275229357798,0.32270916334661354,0.7981651376146789,0.24203187250996017,0.9357798165137615,0.15823037066560383,0.981651376146789
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,line_step_bic,0.014010682397959183,0.09355980157852173,0.7141309976577759,0.9107766151428223,0.24922273596938777,0.0895843654870987,0.23663914934552857,0.14929161741259464,0.5139442231075697,0.7293577981651376,0.3804780876494024,0.8211009174311926,0.2599601593625498,0.944954128440367,0.16141889198884019,0.9908256880733946
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,phase_symmetry,0.014010682397959183,0.08216524869203568,0.4194778800010681,0.7314549684524536,0.3087531887755102,0.0816485658288002,0.26442856957827043,0.19042014260096682,0.5577689243027888,0.7935779816513762,0.4243027888446215,0.8990825688073395,0.28784860557768926,0.963302752293578,0.1873256277401355,0.9862385321100917
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,ofs,0.014010682397959183,0.005027621053159237,0.17438387870788574,0.5883025527000427,0.018136160714285716,0.45601338148117065,0.36850782883959715,0.25574745237050633,0.6852589641434262,0.7706422018348624,0.5796812749003984,0.8669724770642202,0.4442231075697211,0.9220183486238532,0.26265444400159427,0.9954128440366973
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,ofs_reflectance,0.014010682397959183,0.005076654255390167,0.17521964013576508,0.5913816690444946,0.01823580994897959,0.45898351073265076,0.3712887357995673,0.25869645919486167,0.6852589641434262,0.7522935779816514,0.5836653386454184,0.8532110091743119,0.448207171314741,0.926605504587156,0.2630530091669988,0.9770642201834863
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,fusion_ofs_profile,0.014010682397959183,0.009885493665933609,0.3283097743988037,0.7208756804466248,0.034478635204081634,0.3727819323539734,0.36104878011932134,0.22690601697790885,0.6812749003984063,0.7752293577981652,0.5378486055776892,0.8715596330275229,0.40239043824701193,0.9220183486238532,0.23475488242327622,0.9908256880733946
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,fusion_precision,0.014010682397959183,0.010235084220767021,0.3172314763069153,0.7092077136039734,0.03766741071428571,0.3512357771396637,0.35745418109106875,0.22237173174525574,0.6972111553784861,0.7844036697247706,0.5239043824701195,0.8990825688073395,0.38745019920318724,0.926605504587156,0.23355918692706257,0.9908256880733946
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,fusion_reflectance,0.014010682397959183,0.010316845029592514,0.31912922859191895,0.7081744074821472,0.03794642857142857,0.35294273495674133,0.3604950846519607,0.22520141494024354,0.701195219123506,0.7844036697247706,0.5338645418326693,0.8990825688073395,0.3954183266932271,0.926605504587156,0.23515344758868076,0.9724770642201835
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,verified_frangi_ofs,0.014010682397959183,0.009616822935640812,0.3321852684020996,0.7599676847457886,0.03168845663265306,0.4468727111816406,0.40406804949073977,0.27238502794448294,0.7649402390438247,0.7752293577981652,0.6394422310756972,0.8715596330275229,0.4760956175298805,0.9174311926605505,0.2495017935432443,0.9770642201834863
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,verified_frangi_bic,0.014010682397959183,0.048268090933561325,0.6799831986427307,0.9491716623306274,0.12992267219387754,0.182657390832901,0.42762067219085,0.26189112463987785,0.7848605577689243,0.7568807339449541,0.6354581673306773,0.8669724770642202,0.41733067729083667,0.9220183486238532,0.22797927461139897,0.9862385321100917
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,verified_frangi_v2,0.014010682397959183,0.045169226825237274,0.6403841376304626,0.9319968223571777,0.1161312181122449,0.1530834138393402,0.3015668803757885,0.1810359860038223,0.6294820717131474,0.7844036697247706,0.4820717131474104,0.8853211009174312,0.3346613545816733,0.963302752293578,0.18852132323634915,0.981651376146789
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True,verified_frangi_consensus,0.014010682397959183,0.01172500941902399,0.37412029504776,0.7724102735519409,0.03886320153061224,0.3715357780456543,0.3887431611013806,0.2372400531193675,0.7290836653386454,0.7477064220183486,0.5856573705179283,0.8761467889908257,0.42729083665338646,0.926605504587156,0.2283778397768035,0.9770642201834863
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True,frangi_similarity_historical,0.014010682397959183,0.0853763297200203,0.8858290314674377,0.9987859129905701,0.22606425382653061,0.1691865175962448,0.38400797794601754,0.3413670998101387,0.8446215139442231,0.5412844036697247,0.6613545816733067,0.7018348623853211,0.48705179282868527,0.7844036697247706,0.28537265842965326,0.9128440366972477
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True,frangi_relative,0.014010682397959183,0.026030978187918663,0.27326899766921997,0.6658690571784973,0.07637117346938775,0.12150520086288452,0.23797491911002897,0.16448413826161631,0.5537848605577689,0.6651376146788991,0.41832669322709165,0.7614678899082569,0.299800796812749,0.908256880733945,0.18094858509366282,0.9403669724770642
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True,black_tophat,0.014010682397959183,0.2603277266025543,0.9393924474716187,0.9628725051879883,0.4308235012755102,0.0692598968744278,0.25367409640212674,0.1636081516079476,0.47410358565737054,0.44036697247706424,0.33266932270916333,0.5504587155963303,0.2360557768924303,0.6651376146788991,0.16699880430450378,0.8669724770642202
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True,derivative_pair,0.014010682397959183,0.15236680209636688,0.7949986457824707,0.9736343622207642,0.36796476403061223,0.04474915564060211,0.04452395046664868,0.04662658635182792,0.10756972111553785,0.3211009174311927,0.11553784860557768,0.5412844036697247,0.0946215139442231,0.6926605504587156,0.06895177361498606,0.8853211009174312
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True,paired_profile,0.014010682397959183,0.1709456592798233,0.8133437633514404,0.9368473887443542,0.41386320153061223,0.05885854735970497,0.12122561700094345,0.09000789853404526,0.26294820717131473,0.44036697247706424,0.23705179282868527,0.6284403669724771,0.1892430278884462,0.7935779816513762,0.12953367875647667,0.9128440366972477
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True,line_step_bic,0.014010682397959183,0.17219384014606476,0.8360885381698608,0.9503964185714722,0.4038185586734694,0.06851387023925781,0.20899677219770868,0.13543334652446354,0.38247011952191234,0.6146788990825688,0.31274900398406374,0.7522935779816514,0.25,0.8899082568807339,0.1542447190115584,0.9724770642201835
