cohort,map,baseline,physical_scenes,delta_ap_tol2_mean,delta_ap_tol2_median,delta_ap_tol2_ci95_low,delta_ap_tol2_ci95_high,delta_ap_tol2_share_positive,delta_precision_top_p01_mean,delta_precision_top_p01_median,delta_precision_top_p01_ci95_low,delta_precision_top_p01_ci95_high,delta_precision_top_p01_share_positive,delta_skeleton_recall_top_p01_mean,delta_skeleton_recall_top_p01_median,delta_skeleton_recall_top_p01_ci95_low,delta_skeleton_recall_top_p01_ci95_high,delta_skeleton_recall_top_p01_share_positive,delta_response_mass_near_gt_mean,delta_response_mass_near_gt_median,delta_response_mass_near_gt_ci95_low,delta_response_mass_near_gt_ci95_high,delta_response_mass_near_gt_share_positive,delta_active_fraction_010_mean,delta_active_fraction_010_median,delta_active_fraction_010_ci95_low,delta_active_fraction_010_ci95_high,delta_active_fraction_010_share_positive
pooled_original,black_tophat,frangi_similarity_historical,30,-0.1889961803833988,-0.13632907798870453,-0.27842783634644913,-0.10670283107630626,0.2692307692307692,-0.08751660026560425,-0.03386454183266929,-0.17457005312084997,-0.0031872509960159372,0.23333333333333334,0.20995810341951932,0.17751409774436083,0.11671149009458655,0.3114196569375877,0.7692307692307693,-0.13637580417562276,-0.05842213332653045,-0.2012307071406394,-0.07593938759838548,0.13333333333333333,0.1495236766581632,0.146305006377551,0.12941899513711733,0.16993600858312075,1.0
pooled_original,derivative_pair,frangi_similarity_historical,30,-0.27008565147329017,-0.2581520626963393,-0.3688727078059681,-0.17803117944735863,0.15384615384615385,-0.2962151394422311,-0.2729083665338646,-0.41288346613545823,-0.18220451527224438,0.2,0.11154965955487356,0.057398805573988014,0.008449651603670378,0.21894491350118728,0.6153846153846154,-0.15968771905172616,-0.06599095184355974,-0.23590365818895712,-0.09262199178299252,0.1,0.20770487882653058,0.2114955357142857,0.16598328882334182,0.24323057836415815,0.9666666666666667
pooled_original,frangi_relative,frangi_similarity_historical,30,-0.2541601040520706,-0.21919684778115653,-0.3550426867219242,-0.1566541738229568,0.15384615384615385,-0.24893758300132804,-0.19223107569721115,-0.3850630810092962,-0.12018260292164683,0.23333333333333334,0.041265895442980656,-0.006880733944954143,-0.0843255640443411,0.17011142523691422,0.4230769230769231,-0.14454138498598088,-0.06045770179480315,-0.2231871359448026,-0.07327425528686339,0.13333333333333333,-0.11008848852040819,-0.1194893973214286,-0.12906078935480442,-0.09054549651892008,0.03333333333333333
pooled_original,frangi_similarity_historical,frangi_similarity_historical,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pooled_original,fusion_ofs_profile,frangi_similarity_historical,30,-0.15839346389385175,-0.0681166767499886,-0.2629623488038749,-0.05577445498733697,0.2692307692307692,-0.09169986719787518,-0.003984063745019917,-0.19987051792828686,0.012616201859229731,0.3,0.1714612500458739,0.1634517368462322,0.061949650174981816,0.2867900577285766,0.6538461538461539,0.21920325194951146,0.19718247523996985,0.1427043762352939,0.2989499513447906,0.7,-0.17694249574829932,-0.17638911033163263,-0.2037072172619048,-0.14887489370748302,0.03333333333333333
pooled_original,fusion_precision,frangi_similarity_historical,30,-0.15914318007708136,-0.06658952729956868,-0.26843955885702225,-0.05645208233635936,0.2692307692307692,-0.09282868525896415,-0.002988047808764882,-0.20212649402390442,0.011759628154050369,0.3,0.1782501028228118,0.17167698202180956,0.06737973082474606,0.2997000791678536,0.6538461538461539,0.20942825685100008,0.19454346969723707,0.13452134819643105,0.2871578670978003,0.6666666666666666,-0.17534013605442178,-0.17439612563775503,-0.20313157684948976,-0.14681134074723642,0.03333333333333333
pooled_original,fusion_reflectance,frangi_similarity_historical,30,-0.15974365342748653,-0.06665416630626725,-0.26444406521061853,-0.059558178113327497,0.2692307692307692,-0.09993359893758301,-0.00697211155378491,-0.2033897742363878,0.0017280876494023632,0.3,0.17166191667015335,0.1521876710454296,0.06606181593101433,0.28406124631572854,0.6923076923076923,0.1984782925263668,0.17344755306839948,0.12716147791380844,0.27291789375866454,0.6666666666666666,-0.1735843165391157,-0.17431640625,-0.20175822770514457,-0.1449821960034014,0.03333333333333333
pooled_original,line_step_bic,frangi_similarity_historical,30,-0.1969106850718213,-0.15164233271892794,-0.2906932633039237,-0.10924466759426317,0.23076923076923078,-0.11640106241699869,-0.01494023904382465,-0.21726427622841968,-0.01646580345285528,0.3,0.20210441756482156,0.12536636318283856,0.09755535965798989,0.31637118567352784,0.8076923076923077,-0.10675607707817107,-0.0406321063637733,-0.16407670637747893,-0.05411216671966638,0.16666666666666666,0.02567429315476189,0.03497688137755105,0.0016069601668792356,0.04870826357886903,0.7333333333333333
pooled_original,ofs,frangi_similarity_historical,30,-0.1489606217150568,-0.0676255999412416,-0.2556464973491736,-0.047439168580577167,0.3076923076923077,-0.09641434262948208,-0.002988047808764882,-0.20405378486055778,0.004980079681274893,0.3,0.14836747591805174,0.11017083201518502,0.05135271070805865,0.25642209488123335,0.6538461538461539,0.23580860871976864,0.22814253345131877,0.15746746955129007,0.31759260307318377,0.7333333333333333,-0.18071056547619052,-0.18736049107142855,-0.20772665218431124,-0.15320536710778065,0.0
pooled_original,ofs_reflectance,frangi_similarity_historical,30,-0.1496521169715152,-0.06757631695238084,-0.2542915985417395,-0.05059680105401093,0.3076923076923077,-0.10338645418326695,-0.004980079681274896,-0.20690571049136786,-0.005179282868525912,0.3,0.13257277754928315,0.10724864590385914,0.04655360051245064,0.2274084634164643,0.6538461538461539,0.22780620509292931,0.19488180615007877,0.15020842231189216,0.3109673784368594,0.7333333333333333,-0.17978249893707482,-0.18731066645408165,-0.20717786724064624,-0.15188428398703233,0.0
pooled_original,paired_profile,frangi_similarity_historical,30,-0.2102163086035946,-0.17225730470336653,-0.31066115874489153,-0.11396508678748445,0.23076923076923078,-0.11925630810092962,-0.05677290836653386,-0.23725431606905711,-0.0013927622841965724,0.3,0.21729355733647934,0.16259578544061304,0.10716721670329676,0.34244908076407676,0.7692307692307693,-0.15711562881090987,-0.058474836871027946,-0.2312084525231815,-0.08761300398987566,0.1,0.25211057079081634,0.24732940051020402,0.229650114928784,0.27544141289328233,1.0
pooled_original,phase_symmetry,frangi_similarity_historical,30,-0.13803680970444712,-0.10389196594979366,-0.22188223520629732,-0.06063610434462604,0.2692307692307692,-0.06938911022576362,-0.003984063745019899,-0.16321547144754317,0.020584329349269584,0.3,0.2785417716756698,0.196389782216204,0.18390176159478003,0.38324715110236507,0.8076923076923077,-0.12663678164438655,-0.062388443155214204,-0.18615557392283033,-0.07106133576094484,0.16666666666666666,0.1488380899234694,0.14691286670918363,0.12552588222789116,0.1736886991124574,1.0
pooled_original,verified_frangi_bic,frangi_similarity_historical,30,-0.1389968961528289,-0.04169917830193508,-0.21029571568971533,-0.07132435609133085,0.23076923076923078,-0.059694555112881804,-0.0019920318725099584,-0.13997509960159363,0.014941899070385095,0.26666666666666666,0.14401427204274989,0.14667572771548304,0.08947430776930093,0.20092052238432268,0.8076923076923077,0.0057068050295735395,0.0,-0.03050960295212766,0.04326471135078463,0.43333333333333335,-0.08724888392857144,-0.08750199298469385,-0.09799798044217688,-0.07625146152210885,0.03333333333333333
pooled_original,verified_frangi_consensus,frangi_similarity_historical,30,-0.16840293335792111,-0.06666515264061323,-0.2726229844954892,-0.06844492323276437,0.2692307692307692,-0.10544488711819389,0.0,-0.20996181938911024,-0.003517596281540524,0.3,0.13503232156676867,0.12972577880834757,0.044635675940937335,0.23403938378216796,0.6538461538461539,0.2038375883596018,0.180378844961524,0.12932678761659192,0.28370284675795115,0.6666666666666666,-0.17785262542517008,-0.17357900191326528,-0.20358823607568025,-0.1515009499893708,0.03333333333333333
pooled_original,verified_frangi_ofs,frangi_similarity_historical,30,-0.15784411331258358,-0.06584764232093335,-0.26079906709160516,-0.056491063604534174,0.3076923076923077,-0.10358565737051798,0.0,-0.20836653386454182,-0.007501660026560476,0.3,0.1183600519994906,0.10074616339426758,0.03406829716643735,0.20640980217788732,0.6153846153846154,0.2148711925605312,0.20832997187972074,0.13609195608548666,0.296242227308685,0.7333333333333333,-0.17827580250850342,-0.17790377869897958,-0.20534920413477895,-0.1516891873937075,0.0
pooled_original,verified_frangi_v2,frangi_similarity_historical,30,-0.1798114148629873,-0.09928769653735106,-0.26517426656385296,-0.10225074422283306,0.15384615384615385,-0.0903054448871182,-0.012948207171314813,-0.17783034528552455,-0.006240039840637478,0.3,0.1970616809119665,0.20750237416904083,0.13375365897536332,0.2602197832839035,0.8076923076923077,-0.010952017696884768,-0.0012527368962764532,-0.050760119923700886,0.02793988659085396,0.36666666666666664,-0.10067097151360546,-0.10207071109693874,-0.1129976981026786,-0.08762404668898813,0.03333333333333333
khanhha_original,black_tophat,frangi_similarity_historical,24,-0.21359572757607143,-0.19910726426533035,-0.3085429558457306,-0.12114010710890742,0.25,-0.09702855245683932,-0.03884462151394419,-0.19671314741035859,0.0002531540504647426,0.25,0.19862610147848894,0.17751409774436083,0.10396090464438436,0.3004841132263667,0.8,-0.15200142209262898,-0.08378735929727549,-0.22273957760771734,-0.08446846008785847,0.08333333333333333,0.15022869499362246,0.146305006377551,0.1298751727253401,0.1708515400789222,1.0
khanhha_original,derivative_pair,frangi_similarity_historical,24,-0.30423435340485894,-0.29151833646152553,-0.4047334862820793,-0.2079400685312901,0.1,-0.3325033200531209,-0.3784860557768924,-0.46041044156706507,-0.2065031540504649,0.125,0.03622307057739219,0.031010754648195398,-0.06318158370593402,0.14270643805106917,0.55,-0.1728718059215074,-0.10774309933185575,-0.25653394784894773,-0.09847640911757481,0.041666666666666664,0.19203320976828228,0.19027024872448983,0.1435060046968006,0.2354408108458227,0.9583333333333334
