shadow_kind,map,n,crack_retention_mean,crack_retention_median,shadow_boundary_response_mean,shadow_boundary_response_median,boundary_response_increase_mean,boundary_reduction_vs_historical
curved,black_tophat,16,0.9941412936818175,0.9966040387074244,0.12636755104176695,0.13863406330347056,-0.017676712712272943,-0.1865836696618035
curved,derivative_pair,16,0.9907555662122502,0.9996114231469742,0.11953925644047556,0.12648229300975794,-0.042116917902603704,-0.12246639589383879
curved,frangi_relative,16,0.8073002051935462,0.8756200232764405,0.01702822893275875,0.015990596730262,-0.01268058792629741,0.8401059590986621
curved,frangi_similarity_historical,16,0.879189441472172,0.9159525611728688,0.10649695784013599,0.08631044253706929,0.03785573316872613,0.0
curved,fusion_ofs_profile,16,0.7468028191108443,0.967536090426244,0.002532558540508455,0.0002581023436505,6.12505391473139e-05,0.9762194283116508
curved,fusion_precision,16,0.7482417103183282,0.9713900204689356,0.002755761500168278,0.00031849087099535,6.96336422265727e-05,0.9741235660054723
curved,fusion_reflectance,16,0.7490785884167158,0.9656325196651632,0.0032004203970927366,0.00069565797457465,0.00019912710058634094,0.969948245827858
curved,line_step_bic,16,1.0030631934812737,1.0010206580529122,0.0823422581888735,0.08806524053215975,0.01026921311859039,0.22681117039532184
curved,ofs,16,0.7422414638740883,0.9661724361356712,0.001646279372863523,0.00011407678175598975,9.864266512948133e-06,0.9845415361504056
curved,ofs_reflectance,16,0.7482500803565746,0.9650758649785228,0.0017906966292144638,0.0002261237314087,1.6017286043277202e-05,0.9831854668383814
curved,paired_profile,16,0.9943015970008021,0.9980680498319824,0.12423549056984481,0.13344579935073844,-0.024496034951880526,-0.1665637506409936
curved,phase_symmetry,16,0.9964852669581516,0.9970379067657884,0.08889076998457308,0.08553275093436236,0.008141392609104476,0.1653210402685098
curved,verified_frangi_bic,16,0.8600593456559081,0.9077551863990416,0.04004780655850478,0.04147003591060635,0.004432941947015942,0.6239535159434217
curved,verified_frangi_consensus,16,0.6271595618639064,0.901500531595308,0.0023239413485498187,0.00030368627631099997,-0.0005543258063198592,0.9781783311403287
curved,verified_frangi_ofs,16,0.6093489414460813,0.8406333436550026,0.0022191341442976097,0.00017092916095854999,-0.0004826763365031074,0.9791624644562262
curved,verified_frangi_v2,16,0.8551259382612328,0.9266786227584884,0.027240498195169455,0.0261934762820601,-0.005494842459938793,0.7442133677089582
hard,black_tophat,16,0.9855588396784284,0.991716247105581,0.1477045258507132,0.1429585441946983,-0.004500192124396531,-0.09979443619149864
hard,derivative_pair,16,0.9782418683600191,0.9875017769349328,0.10396389244124289,0.10397715121507639,-0.05669044284149999,0.22589433320916585
hard,frangi_relative,16,0.5422382163708217,0.6025319362060811,0.03531233800458716,0.0315228030085563,0.006538433866808193,0.7370675499435209
hard,frangi_similarity_historical,16,0.6458475974000849,0.6776724777657251,0.13430193951717223,0.10544453933835024,0.05878265517458203,0.0
hard,fusion_ofs_profile,16,0.6816743432058541,0.8984046776598179,0.004423861413925989,0.0009251942683476001,0.001968226181162418,0.9670603311476351
hard,fusion_precision,16,0.6861542532549045,0.914721280442699,0.006213164958751296,0.0012791480403393,0.0036194651488017284,0.9537373400481914
hard,fusion_reflectance,16,0.68548485926689,0.9306840147236096,0.027203731689951348,0.0033183728228322997,0.024252359038655386,0.7974434934614403
hard,line_step_bic,16,0.9856281757255606,0.9958914120190344,0.1311966483481228,0.1244781278073787,0.06029060226865107,0.023121714996918397
hard,ofs,16,0.6651023941038626,0.8690763671121856,0.004461043098832072,0.00035775711876335,0.0027788307699445455,0.9667834797109414
hard,ofs_reflectance,16,0.664519694122292,0.9088993287918808,0.018514338637032744,0.00101603538496415,0.016686239693626682,0.8621439220938023
hard,paired_profile,16,0.9831836910995643,0.9895780999115984,0.09963001043070105,0.09909208491444585,-0.04800414002966132,0.25816402362557045
hard,phase_symmetry,16,0.981905169333245,0.9850192658064372,0.13420577393844718,0.112748984247446,0.055176026420667726,0.0007160401336776534
hard,verified_frangi_bic,16,0.6847760829742493,0.7428309387579648,0.07383533893880663,0.0655934922397136,0.035877289839845616,0.4502287963654774
hard,verified_frangi_consensus,16,0.5531849215756895,0.5824043697219058,0.008521339541971396,0.00090825450024565,0.0056717509347663595,0.9365508824920444
hard,verified_frangi_ofs,16,0.5193796260089345,0.5251225408125891,0.012676284648591697,0.00060538282559715,0.00971907114228544,0.9056135399521101
hard,verified_frangi_v2,16,0.6925267392618852,0.7916502066458393,0.0486011901957681,0.0467902179807424,0.013872673400328495,0.6381199678091484
soft,black_tophat,16,0.9931719099796676,0.9986817471385336,0.1304017941001802,0.13229670375585556,-0.008822457632049889,-0.3417427045205903
soft,derivative_pair,16,0.9766038668373924,0.9971622993008948,0.1350725879892707,0.14379237592220306,-0.027028004173189353,-0.3898018870514066
soft,frangi_relative,16,0.6646368768966305,0.6718409871364971,0.01679606174002396,0.015013805124908651,-0.012224395002704069,0.8271803431857583
soft,frangi_similarity_historical,16,0.8991056011507492,0.8761097040752974,0.09718837573018388,0.08367972075939176,0.03094294191396328,0.0
soft,fusion_ofs_profile,16,0.7516501776246359,0.9743955880451298,0.002116613645625846,0.00045157600834495003,-3.90619467225339e-05,0.9782215349343627
soft,fusion_precision,16,0.7545257266871176,0.9786651294929908,0.002280302145777531,0.0005784214736195,-4.876928142038136e-05,0.9765372954466474
soft,fusion_reflectance,16,0.7626307577235057,0.9898137178376892,0.002761730482291083,0.0005960209964541,2.2235792187075933e-05,0.9715837366193026
soft,line_step_bic,16,0.9949878219687611,0.999103931388339,0.07077520666643974,0.0791527889668941,-0.00016150251030920543,0.2717729241311003
soft,ofs,16,0.7465042555690545,0.9730320016521704,0.0012676800927806484,0.00014157382247499993,-1.6573666954399476e-05,0.9869564638439888
soft,ofs_reflectance,16,0.7574436116448875,0.9820816909047224,0.0014792566518231137,0.00014343423754324447,5.311339226206387e-06,0.9847794899265541
soft,paired_profile,16,0.9909211572562365,0.9982978691153228,0.13555641379207367,0.1413254514336586,-0.011545568238943763,-0.39478011411990077
soft,phase_symmetry,16,0.9946512488496452,0.9994967861217496,0.07905638497322794,0.0802589319646358,0.0002563081216067028,0.1865654263766513
soft,verified_frangi_bic,16,0.9039298038841496,0.8180126685803566,0.03133027760486581,0.03359302971512075,-0.0030214518701541125,0.6776334888871332
soft,verified_frangi_consensus,16,0.7526016688408877,0.9041623948079492,0.0021040848087068038,0.0007652862259419499,-0.00020103496729006424,0.9783504478503869
soft,verified_frangi_ofs,16,0.7339336487750963,0.8776360313385233,0.0017876326951408838,0.00048710608098185,-0.0001165223995940307,0.9816065174285478
soft,verified_frangi_v2,16,0.9032530750156135,0.8529806573561994,0.028135260421549863,0.03358714282512665,-0.004521536175161588,0.7105079675406916
