map,paired_step_line_ratio_median,paired_step_line_ratio_worst,paired_share_ratio_below_1,bright_dark_ratio_median,wide_line_center_q95_median,shadowed_crack_retention_median,shadow_boundary_clean_ratio_median,ramp_abstention_fraction_010_median,uniform_abstention_fraction_010_median
black_tophat,0.29376350705169196,0.6782764399077186,1.0,0.0,0.7524768516421317,0.9778292603467768,0.5390767466405102,0.87890625,0.8538411458333334
derivative_pair,0.47909524047011454,0.719843700937799,1.0,0.0,0.7751892223954201,0.966915792278,0.5672979117352855,0.7283528645833334,0.7535807291666666
frangi_relative,0.9306480494495091,1.7081202506847564,0.6666666666666666,0.0,0.1749138489365577,0.3452525880505527,0.1398849043914243,0.8719075520833334,0.8709309895833334
frangi_similarity_historical,0.9997584150555026,1.000092465656941,0.875,0.0,0.9996549308300018,0.0983917911182691,0.963221005296227,1.0,0.9535590277777778
fusion_ofs_profile,0.0,0.1390802887452788,1.0,0.0,0.28303124457597734,0.9204408755736836,0.0,1.0,1.0
fusion_precision,0.0,0.2211393015869569,1.0,0.0,0.2818687930703163,0.9302955442078223,0.0,1.0,1.0
fusion_reflectance,0.6713296093804499,0.9724344809047708,1.0,0.0,0.2827565088868141,0.9262582549998956,0.5113542605372691,1.0,1.0
line_step_bic,0.903739098492503,1.0349414389045914,0.8333333333333334,0.0,0.45453560650348646,0.9630056373211832,0.7429316182931083,0.9785698784722222,0.97607421875
ofs,0.13291705028586545,0.4980427233513345,1.0,0.0,0.2443343587219715,0.894947172062224,0.0,1.0,1.0
ofs_reflectance,0.7992689619845288,1.274692123363907,0.7916666666666666,0.0,0.2446934178471565,0.8831831618002152,0.3417487791887496,1.0,1.0
paired_profile,0.1665980289930539,0.3981239288918469,1.0,0.0,0.639804396033287,0.9521942448082428,0.3044154824401639,0.8083767361111112,0.7723524305555556
phase_symmetry,0.8013785574095995,1.016450760785102,0.9166666666666666,0.22300277628282394,0.49489498659968373,0.9564348251137056,0.9294121610774966,0.6261935763888888,0.7866753472222222
verified_frangi_bic,0.8933056792742429,1.0173298679070706,0.875,0.0,0.6694693624973296,0.1000238704975052,0.393242277069272,1.0,0.9760199652777778
verified_frangi_consensus,0.0,0.3223360653788191,1.0,0.0,0.3252617910504341,0.0991080744581119,0.0,1.0,1.0
verified_frangi_ofs,0.36336753003412614,0.705698278822113,1.0,0.0,0.34943980276584624,0.0976295984638731,0.0,1.0,1.0
verified_frangi_v2,0.5936099707030529,0.6857704458276221,1.0,0.0,0.6547022849321364,0.1009861637090217,0.3813018424278569,1.0,0.9558376736111112
