name,with_evidence_iou,with_evidence_dice,with_evidence_precision,with_evidence_recall,with_evidence_components_pred,with_evidence_skeleton_covered,no_evidence_iou,no_evidence_dice,no_evidence_precision,no_evidence_recall,no_evidence_components_pred,no_evidence_skeleton_covered
CRACK500_20160308_073356_1281_1081.jpg,0.737508,0.848926,0.755288,0.969069,1.000000,1.000000,0.737508,0.848926,0.755288,0.969069,1.000000,1.000000
CRACK500_20160308_073356_641_1.jpg,0.728484,0.842917,0.876583,0.811741,2.000000,0.900552,0.728484,0.842917,0.876583,0.811741,2.000000,0.900552
CRACK500_20160308_073406_641_721.jpg,0.451057,0.621695,0.503172,0.813258,1.000000,0.746988,0.451057,0.621695,0.503172,0.813258,1.000000,0.746988
CRACK500_20160308_073532_1_361.jpg,0.790904,0.883246,0.900905,0.866265,3.000000,0.920301,0.790904,0.883246,0.900905,0.866265,3.000000,0.920301
CRACK500_20160308_073736_1281_361.jpg,0.664202,0.798223,0.782480,0.814611,1.000000,1.000000,0.664202,0.798223,0.782480,0.814611,1.000000,1.000000
CRACK500_20160308_073736_641_721.jpg,0.566476,0.723249,0.863663,0.622107,10.000000,0.623810,0.566476,0.723249,0.863663,0.622107,10.000000,0.623810
CRACK500_20160308_074321_1921_361.jpg,0.660772,0.795741,0.700170,0.921525,1.000000,0.984000,0.660772,0.795741,0.700170,0.921525,1.000000,0.984000
CRACK500_20160308_074330_1921_721.jpg,0.431811,0.603167,0.751000,0.503963,17.000000,0.638743,0.431811,0.603167,0.751000,0.503963,17.000000,0.638743
CRACK500_20160308_074702_1281_361.jpg,0.608331,0.756475,0.905554,0.649542,15.000000,0.646075,0.608331,0.756475,0.905554,0.649542,15.000000,0.646075
CRACK500_20160308_074702_1921_361.jpg,0.796619,0.886798,0.884489,0.889120,5.000000,0.967504,0.796619,0.886798,0.884489,0.889120,5.000000,0.967504
CRACK500_20160308_074702_641_721.jpg,0.534623,0.696748,0.552488,0.942965,3.000000,0.955026,0.534623,0.696748,0.552488,0.942965,3.000000,0.955026
CRACK500_20160308_155720_1281_361.jpg,0.744128,0.853295,0.845821,0.860902,10.000000,0.889862,0.744128,0.853295,0.845821,0.860902,10.000000,0.889862
CRACK500_20160308_155720_1_1.jpg,0.840875,0.913560,0.873295,0.957718,3.000000,0.932522,0.840875,0.913560,0.873295,0.957718,3.000000,0.932522
CRACK500_20160308_155720_641_721.jpg,0.758567,0.862710,0.834619,0.892759,5.000000,0.944282,0.758567,0.862710,0.834619,0.892759,5.000000,0.944282
CRACK500_20160308_155731_1281_1.jpg,0.864193,0.927150,0.971627,0.886567,2.000000,0.931507,0.864193,0.927150,0.971627,0.886567,2.000000,0.931507
CRACK500_20160308_155731_641_1081.jpg,0.710825,0.830973,0.866569,0.798186,3.000000,0.923792,0.710825,0.830973,0.866569,0.798186,3.000000,0.923792
CRACK500_20160308_155737_1281_1.jpg,0.630915,0.773695,0.866619,0.698768,9.000000,0.746383,0.630915,0.773695,0.866619,0.698768,9.000000,0.746383
CRACK500_20160308_155737_1281_361.jpg,0.534379,0.696541,0.823611,0.603439,5.000000,0.750988,0.534379,0.696541,0.823611,0.603439,5.000000,0.750988
CRACK500_20160308_155737_1281_721.jpg,0.602638,0.752057,0.878910,0.657204,5.000000,0.693611,0.602638,0.752057,0.878910,0.657204,5.000000,0.693611
CRACK500_20160308_155737_1921_1.jpg,0.536672,0.698486,0.850967,0.592347,8.000000,0.547664,0.536672,0.698486,0.850967,0.592347,8.000000,0.547664
CRACK500_20160308_155737_1_1081.jpg,0.574591,0.729829,0.712544,0.747973,4.000000,0.871446,0.574591,0.729829,0.712544,0.747973,4.000000,0.871446
CRACK500_20160308_155737_641_721.jpg,0.774504,0.872925,0.892732,0.853977,2.000000,0.875000,0.774504,0.872925,0.892732,0.853977,2.000000,0.875000
CRACK500_20160308_155828_1281_721.jpg,0.689761,0.816401,0.692399,0.994508,1.000000,0.996441,0.689761,0.816401,0.692399,0.994508,1.000000,0.996441
CRACK500_20160308_155836_1921_361.jpg,0.127047,0.225451,0.190678,0.275735,5.000000,0.273504,0.127047,0.225451,0.190678,0.275735,5.000000,0.273504
CRACK500_20160308_155836_1921_721.jpg,0.438530,0.609692,0.862838,0.471391,1.000000,0.615607,0.438530,0.609692,0.862838,0.471391,1.000000,0.615607
CRACK500_20160308_160053_1_361.jpg,0.763082,0.865623,0.765471,0.995927,2.000000,0.978166,0.763082,0.865623,0.765471,0.995927,2.000000,0.978166
CRACK500_20160308_160128_641_361.jpg,0.265636,0.419767,0.352598,0.518549,2.000000,0.579088,0.265636,0.419767,0.352598,0.518549,2.000000,0.579088
CRACK500_20160308_160128_641_721.jpg,0.569122,0.725402,0.751546,0.701016,2.000000,0.907216,0.569122,0.725402,0.751546,0.701016,2.000000,0.907216
CRACK500_20160310_114418_641_361.jpg,0.454772,0.625214,0.770661,0.525952,25.000000,0.501171,0.454772,0.625214,0.770661,0.525952,25.000000,0.501171
CRACK500_20160310_114441_641_1.jpg,0.500281,0.666916,0.518275,0.935106,2.000000,0.979856,0.500281,0.666916,0.518275,0.935106,2.000000,0.979856
CRACK500_20160310_114441_641_1081.jpg,0.664131,0.798171,0.748639,0.854722,2.000000,0.905882,0.664131,0.798171,0.748639,0.854722,2.000000,0.905882
CRACK500_20160310_114446_641_1081.jpg,0.804323,0.891551,0.809764,0.991715,1.000000,1.000000,0.804323,0.891551,0.809764,0.991715,1.000000,1.000000
CRACK500_20160310_114505_641_361.jpg,0.591306,0.743171,0.620176,0.927019,2.000000,0.961039,0.591306,0.743171,0.620176,0.927019,2.000000,0.961039
CRACK500_20160310_114658_641_721.jpg,0.436002,0.607244,0.620202,0.594817,7.000000,0.624454,0.436002,0.607244,0.620202,0.594817,7.000000,0.624454
CRACK500_20160316_141721_1_721.jpg,0.489341,0.657124,0.490850,0.993756,1.000000,1.000000,0.489341,0.657124,0.490850,0.993756,1.000000,1.000000
CRACK500_20160316_141721_641_721.jpg,0.592238,0.743906,0.599191,0.980784,1.000000,1.000000,0.592238,0.743906,0.599191,0.980784,1.000000,1.000000
CRACK500_20160316_142009_1281_361.jpg,0.669147,0.801783,0.706179,0.927326,1.000000,0.965455,0.669147,0.801783,0.706179,0.927326,1.000000,0.965455
CRACK500_20160316_142009_1281_721.jpg,0.691662,0.817730,0.710851,0.962437,2.000000,0.912000,0.691662,0.817730,0.710851,0.962437,2.000000,0.912000
CRACK500_20160316_142027_1281_721.jpg,0.681877,0.810852,0.799396,0.822642,7.000000,0.796296,0.681877,0.810852,0.799396,0.822642,7.000000,0.796296
CRACK500_20160316_142449_1_361.jpg,0.725602,0.840984,0.890904,0.796362,1.000000,0.856273,0.725602,0.840984,0.890904,0.796362,1.000000,0.856273
CRACK500_20160316_142539_1_721.jpg,0.589564,0.741793,0.728576,0.755498,8.000000,0.864641,0.589564,0.741793,0.728576,0.755498,8.000000,0.864641
CRACK500_20160316_143433_641_361.jpg,0.680396,0.809805,0.784632,0.836646,3.000000,0.820896,0.680396,0.809805,0.784632,0.836646,3.000000,0.820896
CRACK500_20160316_143445_1281_361.jpg,0.783216,0.878431,0.799848,0.974136,1.000000,0.996205,0.783216,0.878431,0.799848,0.974136,1.000000,0.996205
CRACK500_20160316_143527_641_1.jpg,0.725903,0.841186,0.812654,0.871795,1.000000,0.909396,0.725903,0.841186,0.812654,0.871795,1.000000,0.909396
CRACK500_20160316_143547_1281_1081.jpg,0.806683,0.892999,0.878870,0.907590,1.000000,0.802632,0.806683,0.892999,0.878870,0.907590,1.000000,0.802632
CRACK500_20160316_143603_1921_361.jpg,0.574021,0.729369,0.829000,0.651116,3.000000,0.565425,0.574021,0.729369,0.829000,0.651116,3.000000,0.565425
CRACK500_20160316_143624_1_641.jpg,0.642162,0.782094,0.712342,0.866987,5.000000,0.920000,0.642162,0.782094,0.712342,0.866987,5.000000,0.920000
