name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
Rissbilder_for_Florian_9S6A2835_468_2521_2391_2304,0.548010,0.548010,0.621481,0.822554,0.708018,0.674643,0.765685,0.864939,0.869665,0.867295,0.704943,0.832456,0.911654,0.905504,0.908569,0.728281,0.879826,0.935343,0.936802,0.936072,0.764457,0.927855,0.952458,0.972915,0.962578,0.798534,0.949486,0.961635,0.986868,0.974088
Rissbilder_for_Florian_9S6A2835_469_1050_2755_3142,0.478421,0.478421,0.536716,0.814978,0.647205,0.631688,0.710343,0.798975,0.864927,0.830644,0.665995,0.785081,0.854369,0.906372,0.879603,0.689956,0.833579,0.881473,0.938806,0.909237,0.723307,0.877085,0.898989,0.972971,0.934518,0.754907,0.898438,0.908625,0.987675,0.946502
Rissbilder_for_Florian_9S6A2835_637_235_2191_2778,0.457229,0.457229,0.518173,0.795400,0.627532,0.571872,0.646132,0.736510,0.840395,0.785031,0.600090,0.712511,0.791193,0.877522,0.832124,0.621367,0.756947,0.820243,0.907486,0.861662,0.652135,0.802735,0.842064,0.945016,0.890574,0.680667,0.827051,0.856129,0.960553,0.905340
Rissbilder_for_Florian_9S6A2835_964_2753_2392_2184,0.502445,0.502445,0.566630,0.816028,0.668836,0.623502,0.701973,0.795233,0.856852,0.824893,0.647930,0.763910,0.847006,0.886191,0.866155,0.665873,0.805964,0.874123,0.911788,0.892558,0.692575,0.849108,0.895907,0.942045,0.918397,0.716228,0.871591,0.909717,0.954122,0.931390
Rissbilder_for_Florian_9S6A2836_0_0_3840_5760,0.401468,0.401468,0.473667,0.724809,0.572925,0.582943,0.648159,0.811025,0.763462,0.786525,0.620772,0.725077,0.898721,0.789595,0.840631,0.648497,0.774116,0.950195,0.806855,0.872678,0.686745,0.813705,0.984193,0.824480,0.897285,0.715218,0.829728,0.988959,0.837486,0.906941
Rissbilder_for_Florian_9S6A2836_391_1220_2381_3118,0.528442,0.528442,0.552681,0.923366,0.691478,0.734958,0.808183,0.843520,0.950720,0.893918,0.777138,0.895127,0.923135,0.967217,0.944662,0.806511,0.953545,0.967629,0.984966,0.976220,0.844867,0.996710,0.998375,0.998330,0.998352,0.877616,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2837_523_803_3305_3454,0.493612,0.493612,0.541881,0.847127,0.660964,0.688852,0.773617,0.853493,0.892081,0.872361,0.729867,0.866038,0.930880,0.925557,0.928211,0.756963,0.923913,0.970892,0.950234,0.960452,0.795479,0.970368,0.995867,0.974292,0.984961,0.831007,0.979678,0.998241,0.981372,0.989735
Rissbilder_for_Florian_9S6A2838_1264_697_1978_2438,0.473425,0.473425,0.563409,0.747744,0.642619,0.601305,0.670284,0.820209,0.785729,0.802599,0.627362,0.738228,0.882037,0.819098,0.849403,0.644876,0.785095,0.915560,0.846380,0.879612,0.670750,0.832015,0.933112,0.884785,0.908306,0.690990,0.846474,0.933112,0.901154,0.916855
Rissbilder_for_Florian_9S6A2838_419_638_3373_4346,0.394172,0.394172,0.443926,0.778614,0.565457,0.578179,0.641306,0.750414,0.815182,0.781458,0.613971,0.722172,0.831025,0.846469,0.838676,0.638989,0.779664,0.881153,0.871287,0.876192,0.673020,0.832870,0.919389,0.898482,0.908815,0.702582,0.857969,0.929700,0.917492,0.923556
Rissbilder_for_Florian_9S6A2838_565_1405_2810_2334,0.465162,0.465162,0.545750,0.759043,0.634963,0.609012,0.675307,0.822450,0.790559,0.806189,0.639883,0.745313,0.897696,0.814495,0.854074,0.665054,0.799128,0.944928,0.838165,0.888350,0.701215,0.853992,0.982025,0.867553,0.921247,0.733587,0.879347,0.990821,0.886569,0.935801
