name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
CRACK500_20160328_153612_1281_1081,0.742224,0.742224,0.799472,0.912012,0.852042,0.763155,0.808289,0.855556,0.936021,0.893982,0.780133,0.860023,0.897282,0.953941,0.924744,0.798309,0.905093,0.931767,0.969341,0.950182,0.828075,0.958309,0.970240,0.987330,0.978710,0.856524,0.989042,0.992698,0.996290,0.994491
CRACK500_20160328_153616_1281_361,0.752735,0.752735,0.813255,0.910033,0.858926,0.771926,0.813552,0.867832,0.928608,0.897192,0.787940,0.863934,0.912098,0.942399,0.927001,0.804587,0.905301,0.946638,0.953985,0.950297,0.830263,0.949988,0.980298,0.968479,0.974353,0.858378,0.977959,0.996353,0.981472,0.988857
CRACK500_20160328_153623_1_721,0.750000,0.750000,0.776716,0.956149,0.857143,0.764294,0.801831,0.821061,0.971619,0.890018,0.774727,0.841561,0.857202,0.978778,0.913965,0.784011,0.880869,0.893758,0.983892,0.936662,0.798294,0.934022,0.942777,0.990156,0.965886,0.813020,0.968670,0.973517,0.994886,0.984086
CRACK500_20160328_153629_1921_361,0.881429,0.881429,0.943671,0.930379,0.936978,0.886797,0.917842,0.964692,0.949747,0.957161,0.891028,0.944614,0.978458,0.964676,0.971518,0.894737,0.965774,0.988392,0.976854,0.982589,0.902431,0.988930,0.997544,0.991343,0.994434,0.909416,0.998679,0.999926,0.998753,0.999339
CRACK500_20160328_153645_1_361,0.740603,0.740603,0.970611,0.757592,0.850973,0.750505,0.769296,0.977404,0.783225,0.869607,0.759859,0.795715,0.982708,0.807015,0.886238,0.770367,0.824176,0.986849,0.833329,0.903615,0.789371,0.873867,0.993098,0.879207,0.932689,0.810258,0.927792,0.998438,0.929141,0.962544
CRACK500_20160328_153657_1921_1081,0.765284,0.765284,0.937738,0.806251,0.867038,0.778856,0.822732,0.962790,0.849752,0.902746,0.792141,0.866426,0.978264,0.883434,0.928433,0.807311,0.906566,0.989807,0.915109,0.950994,0.830266,0.956992,0.999386,0.957555,0.978023,0.851103,0.987435,1.000000,0.987435,0.993678
CRACK500_20160328_153702_1281_721,0.619114,0.619114,0.740066,0.791150,0.764756,0.652068,0.716209,0.833885,0.835398,0.834641,0.670174,0.791323,0.893488,0.873746,0.883507,0.687216,0.857830,0.937638,0.909735,0.923476,0.710753,0.938393,0.987307,0.949853,0.968218,0.740300,0.977581,1.000000,0.977581,0.988663
CRACK500_20160328_153702_1_1081,0.757812,0.757813,0.840849,0.884711,0.862222,0.785078,0.827794,0.903429,0.908153,0.905785,0.805097,0.875282,0.943274,0.923914,0.933494,0.820982,0.907975,0.967911,0.936155,0.951768,0.845600,0.946381,0.990343,0.955196,0.972452,0.870593,0.973627,0.998935,0.974638,0.986637
CRACK500_20160328_153706_1281_1,0.106939,0.106939,0.715847,0.111679,0.193215,0.101399,0.108435,0.788707,0.111679,0.195655,0.101226,0.109681,0.859745,0.111679,0.197681,0.101675,0.110524,0.914390,0.111679,0.199048,0.103448,0.111306,0.970856,0.111679,0.200316,0.106590,0.111679,1.000000,0.111679,0.200920
CRACK500_20160328_153706_1281_1081,0.854274,0.854274,0.891846,0.953002,0.921411,0.869897,0.917967,0.940558,0.974502,0.957229,0.882646,0.960407,0.972467,0.987251,0.979803,0.894129,0.984997,0.990399,0.994493,0.992442,0.909881,0.998908,0.999435,0.999472,0.999454,0.923317,1.000000,1.000000,1.000000,1.000000
CRACK500_20160328_153706_1921_1,0.701540,0.701540,0.793274,0.858489,0.824594,0.737098,0.790421,0.883420,0.882469,0.882944,0.763570,0.850124,0.941189,0.897816,0.918991,0.787492,0.891244,0.975965,0.911245,0.942495,0.822196,0.926808,0.996142,0.930147,0.962014,0.853963,0.948119,0.999844,0.948259,0.973368
CRACK500_20160328_153714_1_1,0.587997,0.587997,0.883293,0.637527,0.740552,0.625971,0.667992,0.935718,0.700120,0.800953,0.656242,0.731510,0.966487,0.750548,0.844939,0.684965,0.784632,0.985007,0.794116,0.879321,0.729396,0.842299,0.998138,0.843624,0.914400,0.776325,0.889738,1.000000,0.889738,0.941652
CRACK500_20160328_153714_1_1081,0.532518,0.532518,0.890396,0.569873,0.694958,0.558658,0.593398,0.935616,0.618660,0.744821,0.582927,0.640806,0.963609,0.656698,0.781087,0.608656,0.681626,0.982127,0.690187,0.810675,0.651518,0.733909,0.998277,0.734840,0.846537,0.697549,0.778252,1.000000,0.778252,0.875300
CRACK500_20160328_153714_641_721,0.638401,0.638401,0.669351,0.932463,0.779298,0.685452,0.751593,0.768611,0.971383,0.858182,0.721287,0.842465,0.851274,0.987866,0.914498,0.751908,0.913496,0.916187,0.996795,0.954793,0.796653,0.980279,0.980279,1.000000,0.990041,0.838106,1.000000,1.000000,1.000000,1.000000
CRACK500_20160328_153718_1281_1,0.687414,0.687414,0.746889,0.896185,0.814754,0.723435,0.773827,0.828341,0.921620,0.872495,0.747887,0.838114,0.887327,0.937932,0.911928,0.770665,0.888844,0.932373,0.950097,0.941152,0.804820,0.945568,0.977419,0.966685,0.972023,0.837865,0.980914,0.998272,0.982582,0.990365
CRACK500_20160328_153718_1921_1,0.812893,0.812893,0.833521,0.970455,0.896791,0.836631,0.895170,0.904738,0.988325,0.944686,0.854766,0.948008,0.952113,0.995473,0.973310,0.870093,0.976315,0.977796,0.998451,0.988016,0.895103,0.996521,0.996521,1.000000,0.998257,0.916107,1.000000,1.000000,1.000000,1.000000
CRACK500_20160328_153724_1_1081,0.811490,0.811490,0.941527,0.854557,0.895936,0.824380,0.884474,0.973747,0.906081,0.938696,0.835085,0.933345,0.991476,0.940894,0.965523,0.846835,0.964383,0.998807,0.965496,0.981869,0.865982,0.989943,1.000000,0.989943,0.994946,0.878800,0.999381,1.000000,0.999381,0.999690
CRACK500_20160328_153724_641_721,0.747914,0.747914,0.774729,0.955769,0.855779,0.776938,0.827280,0.849104,0.969868,0.905477,0.798006,0.883880,0.903928,0.975522,0.938361,0.818430,0.928028,0.946917,0.978958,0.962671,0.845233,0.972342,0.989441,0.982537,0.985977,0.868423,0.985874,0.999826,0.986044,0.992887
CRACK500_20160328_153813_1281_1081,0.804257,0.804257,0.950139,0.839697,0.891511,0.812675,0.839349,0.963540,0.866882,0.912659,0.819607,0.870383,0.973242,0.891721,0.930700,0.828432,0.902817,0.982205,0.917830,0.948927,0.843523,0.950838,0.992517,0.957704,0.974799,0.860045,0.984005,0.998260,0.985696,0.991938
CRACK500_20160328_153813_1921_1081,0.731527,0.731527,0.940464,0.767048,0.844950,0.736833,0.756431,0.952296,0.786223,0.861327,0.742967,0.778769,0.961678,0.803711,0.875627,0.751374,0.801495,0.970361,0.821608,0.889811,0.768058,0.838047,0.982603,0.850669,0.911888,0.791094,0.872586,0.992153,0.878650,0.931958
CRACK500_20160328_153821_1_1,0.803434,0.803434,0.852206,0.933505,0.891004,0.822056,0.870682,0.901335,0.962408,0.930871,0.837466,0.916686,0.936301,0.977658,0.956533,0.852316,0.952027,0.964063,0.987056,0.975424,0.874559,0.987946,0.992311,0.995567,0.993936,0.898179,1.000000,1.000000,1.000000,1.000000
CRACK500_20160328_153829_1921_361,0.735688,0.735688,0.777950,0.931237,0.847719,0.754776,0.805586,0.839773,0.951896,0.892327,0.771739,0.856733,0.881762,0.967931,0.922839,0.791100,0.906039,0.919887,0.983657,0.950704,0.818585,0.970396,0.972437,0.997842,0.984975,0.841685,0.992272,0.992272,1.000000,0.996121
CRACK500_20160328_153829_641_1,0.794342,0.794342,0.879076,0.891785,0.885385,0.815304,0.850692,0.923335,0.915346,0.919323,0.830196,0.891602,0.952521,0.933069,0.942695,0.843017,0.925578,0.972801,0.950167,0.961351,0.861920,0.965695,0.993628,0.971713,0.982548,0.878055,0.987907,1.000000,0.987907,0.993917
