name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
Rissbilder_for_Florian_9S6A2853_826_286_2004_2464,0.529487,0.529487,0.560257,0.906022,0.692372,0.720520,0.794589,0.838524,0.938139,0.885539,0.755284,0.874077,0.907244,0.959854,0.932808,0.781146,0.929057,0.950688,0.976095,0.963224,0.816672,0.984168,0.989167,0.994891,0.992021,0.852968,0.999227,0.999774,0.999453,0.999613
Rissbilder_for_Florian_9S6A2854_162_1195_3169_2569,0.491772,0.491772,0.511280,0.927999,0.659313,0.703067,0.772781,0.801654,0.955468,0.871829,0.745905,0.862192,0.882309,0.974236,0.925997,0.776123,0.923315,0.932976,0.988910,0.960129,0.819522,0.969222,0.969543,0.999659,0.984371,0.857451,0.976217,0.976217,1.000000,0.987966
Rissbilder_for_Florian_9S6A2856_1840_62_3055_3769,0.460748,0.460748,0.485689,0.899725,0.630839,0.699798,0.770507,0.811508,0.938462,0.870380,0.745435,0.864307,0.892184,0.965110,0.927216,0.777936,0.927155,0.943052,0.982143,0.962201,0.823279,0.981233,0.984428,0.996703,0.990528,0.863001,0.996886,0.996886,1.000000,0.998440
Rissbilder_for_Florian_9S6A2856_2611_839_1919_2466,0.540571,0.540571,0.574589,0.901288,0.701780,0.719166,0.794275,0.839560,0.936409,0.885344,0.755928,0.876089,0.906598,0.963009,0.933952,0.783013,0.929321,0.946078,0.981297,0.963366,0.823747,0.979122,0.980922,0.998130,0.989451,0.858406,0.995231,0.995231,1.000000,0.997610
Rissbilder_for_Florian_9S6A2856_3030_1197_2337_2140,0.563151,0.563151,0.599429,0.902959,0.720533,0.734983,0.810881,0.859855,0.934369,0.895565,0.767473,0.879480,0.917471,0.955034,0.935876,0.792248,0.931565,0.952590,0.976856,0.964570,0.827367,0.975177,0.980904,0.994049,0.987433,0.859863,0.993635,0.993635,1.000000,0.996807
Rissbilder_for_Florian_9S6A2856_3095_641_2548_2416,0.517980,0.517980,0.548706,0.902439,0.682459,0.699660,0.773344,0.821751,0.929220,0.872187,0.738697,0.856911,0.895028,0.952654,0.922942,0.768727,0.914197,0.940244,0.970588,0.955175,0.807811,0.963707,0.973684,0.989479,0.981518,0.844982,0.986299,0.987933,0.998326,0.993102
Rissbilder_for_Florian_9S6A2857_1203_1130_2423_3169,0.510505,0.510505,0.536589,0.913055,0.675939,0.714840,0.798651,0.836396,0.946517,0.888056,0.757182,0.897073,0.921341,0.971476,0.945744,0.788150,0.962699,0.973888,0.988206,0.980995,0.830282,0.999129,0.999678,0.999451,0.999565,0.866556,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2857_148_211_2303_2832,0.507847,0.507847,0.533014,0.914935,0.673606,0.705037,0.775299,0.814163,0.942001,0.873429,0.754713,0.876104,0.901309,0.969067,0.933961,0.788516,0.947585,0.958468,0.988159,0.973087,0.831968,0.999055,0.999296,0.999758,0.999527,0.868170,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2857_159_2331_3518_2794,0.499461,0.499461,0.515515,0.941309,0.666187,0.729820,0.796876,0.821239,0.964108,0.886957,0.774898,0.888710,0.906169,0.978781,0.941076,0.806269,0.949005,0.958338,0.989842,0.973836,0.850007,0.995788,0.996909,0.998871,0.997889,0.887154,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2857_585_241_3220_4175,0.456298,0.456298,0.473507,0.926225,0.626655,0.711877,0.788069,0.817224,0.956691,0.881475,0.762103,0.893945,0.913422,0.976703,0.944003,0.797521,0.962124,0.971141,0.990442,0.980696,0.842264,0.998799,0.999695,0.999104,0.999399,0.881272,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2857_807_939_2369_1886,0.502054,0.502054,0.528547,0.909226,0.668490,0.687179,0.741336,0.776817,0.941964,0.851456,0.719512,0.809843,0.841696,0.955357,0.894932,0.744389,0.872760,0.889273,0.979167,0.932058,0.771845,0.950582,0.953287,0.997024,0.974665,0.799175,0.984429,0.984429,1.000000,0.992153
Rissbilder_for_Florian_9S6A2857_89_2266_3467_3213,0.486126,0.486126,0.507238,0.921133,0.654219,0.701369,0.775944,0.809557,0.949209,0.873839,0.748711,0.874964,0.898524,0.970904,0.933313,0.783957,0.946565,0.956852,0.988770,0.972549,0.829059,0.997357,0.997611,0.999745,0.998677,0.865348,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2858_103_1887_2963_2745,0.504208,0.504208,0.527118,0.920642,0.670397,0.724694,0.795084,0.829284,0.950688,0.885846,0.769389,0.883911,0.908995,0.969725,0.938379,0.800354,0.944932,0.960604,0.983028,0.971686,0.842956,0.993495,0.997374,0.996101,0.996737,0.875970,1.000000,1.000000,1.000000,1.000000
