representation,model,split,n_train,n_inner_train,n_validation,n_test,seed,chosen_C,best_epoch,validation_balanced_accuracy,hit_epoch_limit,warnings,n_parameters,train_balanced_accuracy,elapsed_seconds,epochs_run
mean,mlp64,cv4,7127,5698,1429,1768,46,,35.0,0.5584457082777708,False,[],16643,0.6533349834411281,2.6038270740009466,65.0
mean,mlp64,domain_concrete3k,5895,4716,1179,3000,142,,30.0,0.5854416529127697,False,[],16643,0.6504117124124075,2.0442571509993286,60.0
mean,mlp64,domain_facade390,8505,6801,1704,390,143,,30.0,0.5548304046881215,False,[],16643,0.6352546989261086,2.9817431249994115,60.0
mean,mlp64,domain_khanhha,3810,3050,760,5085,144,,30.0,0.5587066179400674,False,[],16643,0.659626717572251,1.308118678000028,60.0
mean,mlp64,domain_road420,8475,6772,1703,420,145,,30.0,0.5556330873735439,False,[],16643,0.6371521001334889,2.889820068001427,60.0
multiscale_mean,fixed_logistic,cv0,7239,5787,1452,1656,42,1.0,,,False,[],1059,0.6068910545807734,2.440036666001106,
multiscale_mean,fixed_logistic,cv1,7008,5605,1403,1887,43,1.0,,,False,[],1059,0.6052565396458076,2.408312071000182,
multiscale_mean,fixed_logistic,cv2,7203,5763,1440,1692,44,1.0,,,False,[],1059,0.5991203666426738,2.363853630000449,
multiscale_mean,fixed_logistic,cv3,7003,5603,1400,1892,45,1.0,,,False,[],1059,0.5955170680257533,2.3404093440003635,
multiscale_mean,fixed_logistic,cv4,7127,5698,1429,1768,46,1.0,,,False,[],1059,0.597672752038833,2.3710734420001245,
multiscale_mean,tuned_logistic,cv0,7239,5787,1452,1656,42,0.1,,0.5643409136717485,False,[],1059,0.5905477903582786,7.813950019000913,
multiscale_mean,tuned_logistic,cv1,7008,5605,1403,1887,43,0.1,,0.5696883124600735,False,[],1059,0.5896537020329028,7.688252890000513,
multiscale_mean,tuned_logistic,cv2,7203,5763,1440,1692,44,1.0,,0.5384097671685427,False,[],1059,0.5991203666426738,9.218539807001434,
multiscale_mean,tuned_logistic,cv3,7003,5603,1400,1892,45,0.1,,0.5446152930279786,False,[],1059,0.5788296312901319,7.568076298999586,
multiscale_mean,tuned_logistic,cv4,7127,5698,1429,1768,46,10.0,,0.5439896338082746,False,[],1059,0.6037350207641516,11.748551818000124,
multiscale_mean,mlp8,cv0,7239,5787,1452,1656,42,,45.0,0.5681513187153318,False,[],2851,0.6046110688106169,2.9251710129992716,75.0
multiscale_mean,mlp8,cv1,7008,5605,1403,1887,43,,80.0,0.586494905311592,False,[],2851,0.6105792655306231,4.364731839999877,110.0
multiscale_mean,mlp8,cv2,7203,5763,1440,1692,44,,50.0,0.548857645356141,False,[],2851,0.6000590083533884,3.3009955319994333,80.0
multiscale_mean,mlp8,cv3,7003,5603,1400,1892,45,,100.0,0.5580514408927891,False,[],2851,0.615844530300235,5.2723950750005315,130.0
multiscale_mean,mlp8,cv4,7127,5698,1429,1768,46,,55.0,0.5617179275295091,False,[],2851,0.6054332411945338,3.285598521999418,85.0
multiscale_mean,mlp32,cv0,7239,5787,1452,1656,42,,25.0,0.5701433607367196,False,[],11395,0.6350048401883686,2.338322433999565,55.0
multiscale_mean,mlp32,cv1,7008,5605,1403,1887,43,,30.0,0.5898608378592334,False,[],11395,0.6456987057337154,2.2541356140009157,60.0
multiscale_mean,mlp32,cv2,7203,5763,1440,1692,44,,50.0,0.5557187293004674,False,[],11395,0.6605112309851119,3.4335775620002096,80.0
multiscale_mean,mlp32,cv3,7003,5603,1400,1892,45,,30.0,0.5714722880985971,False,[],11395,0.6364360374282171,2.207666895999864,60.0
multiscale_mean,mlp32,cv4,7127,5698,1429,1768,46,,60.0,0.5684818585716715,False,[],11395,0.6636809632327972,4.073924165999415,90.0
multiscale_mean,mlp64,cv0,7239,5787,1452,1656,42,,25.0,0.5718704764534726,False,[],22787,0.6628293246513527,2.3625508820005052,55.0
multiscale_mean,mlp64,cv1,7008,5605,1403,1887,43,,35.0,0.6005964000789512,False,[],22787,0.6654703571188736,2.979468387000452,65.0
multiscale_mean,mlp64,cv2,7203,5763,1440,1692,44,,20.0,0.5587012269696611,False,[],22787,0.6328791824034914,2.0684310239994375,50.0
multiscale_mean,mlp64,cv3,7003,5603,1400,1892,45,,40.0,0.5573565754520636,False,[],22787,0.6774301505760865,3.3374601650011755,70.0
multiscale_mean,mlp64,cv4,7127,5698,1429,1768,46,,60.0,0.5598957990927836,False,[],22787,0.708422560054828,4.522787923000578,90.0
pre_global_mean,fixed_logistic,cv0,7239,5787,1452,1656,42,1.0,,,False,[],1731,0.6388048136552321,3.853524615000424,
pre_global_mean,fixed_logistic,cv1,7008,5605,1403,1887,43,1.0,,,False,[],1731,0.6373908032774174,3.417177535000519,
pre_global_mean,fixed_logistic,cv2,7203,5763,1440,1692,44,1.0,,,False,[],1731,0.6426743042721683,3.714218379000158,
pre_global_mean,fixed_logistic,cv3,7003,5603,1400,1892,45,1.0,,,False,[],1731,0.6224203521024313,3.5198519519999536,
pre_global_mean,fixed_logistic,cv4,7127,5698,1429,1768,46,1.0,,,False,[],1731,0.6397248225506275,3.638378286999796,
pre_global_mean,tuned_logistic,cv0,7239,5787,1452,1656,42,0.1,,0.5473829683183516,False,[],1731,0.6269993755359998,9.927958496999054,
pre_global_mean,tuned_logistic,cv1,7008,5605,1403,1887,43,0.01,,0.5454418827744139,False,[],1731,0.5862889043236881,8.921705724998901,
pre_global_mean,tuned_logistic,cv2,7203,5763,1440,1692,44,1.0,,0.5358190941313515,False,[],1731,0.6426743042721683,11.569369787999676,
pre_global_mean,tuned_logistic,cv3,7003,5603,1400,1892,45,0.01,,0.5210297045147545,False,[],1731,0.5808486288138369,8.902907620000406,
pre_global_mean,tuned_logistic,cv4,7127,5698,1429,1768,46,0.01,,0.5377765022836536,False,[],1731,0.5837246101133352,8.928166462999798,
pre_global_mean,mlp8,cv0,7239,5787,1452,1656,42,,55.0,0.5575773073332323,False,[],4643,0.641239338520648,3.872147201998814,85.0
pre_global_mean,mlp8,cv1,7008,5605,1403,1887,43,,30.0,0.5776804046037901,False,[],4643,0.6115847981109424,2.3484677230007946,60.0
pre_global_mean,mlp8,cv2,7203,5763,1440,1692,44,,35.0,0.5558221361190882,False,[],4643,0.6108360460880266,2.8765494090002903,65.0
pre_global_mean,mlp8,cv3,7003,5603,1400,1892,45,,40.0,0.5408764704682714,False,[],4643,0.6065622621420768,2.8476013029994647,70.0
pre_global_mean,mlp8,cv4,7127,5698,1429,1768,46,,25.0,0.5414693361936301,False,[],4643,0.6020244475463251,2.1710429369995836,55.0
pre_global_mean,mlp32,cv0,7239,5787,1452,1656,42,,25.0,0.5648544230528475,False,[],18563,0.6605349620475693,2.4761273919993982,55.0
pre_global_mean,mlp32,cv1,7008,5605,1403,1887,43,,15.0,0.5810300375442775,False,[],18563,0.6270534867271068,1.9189159360012127,45.0
pre_global_mean,mlp32,cv2,7203,5763,1440,1692,44,,45.0,0.5619013357752293,False,[],18563,0.6967304318487823,3.6795638460007467,75.0
pre_global_mean,mlp32,cv3,7003,5603,1400,1892,45,,30.0,0.5507504079912474,False,[],18563,0.655073785276107,2.634194543999911,60.0
pre_global_mean,mlp32,cv4,7127,5698,1429,1768,46,,15.0,0.5469187365260003,False,[],18563,0.6241856177119769,1.8873300459999882,45.0
pre_global_mean,mlp64,cv0,7239,5787,1452,1656,42,,15.0,0.5651334886827296,False,[],37123,0.6490947559842568,2.3924586630000704,45.0
pre_global_mean,mlp64,cv1,7008,5605,1403,1887,43,,30.0,0.5819910352160652,False,[],37123,0.7061776381751214,3.364090181999927,60.0
pre_global_mean,mlp64,cv2,7203,5763,1440,1692,44,,20.0,0.5556511411087786,False,[],37123,0.6519930328533229,2.6484072469993407,50.0
pre_global_mean,mlp64,cv3,7003,5603,1400,1892,45,,50.0,0.553852019004268,False,[],37123,0.73683659061157,4.952022826999382,80.0
pre_global_mean,mlp64,cv4,7127,5698,1429,1768,46,,35.0,0.5537093040098282,False,[],37123,0.6972327115952544,3.8755194650002522,65.0
