representation,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
concrete3k,3000,0.33766586592673553,0.30825054679072056,0.327,0.3333333333333333,0.22522522522522523,0.4742835320870003,0.5741360089186176,0.5732682142779519,0.21363636363636362,0.45954351204351207,0.5023650861361547,0.23633333333333334,-0.004322377844347874,-0.009691222538392056,0.017186109663734156
facade390,390,0.39974323062558353,0.2771864728747358,0.28974358974358977,0.3333333333333333,0.09803921568627451,0.5366856419987349,0.6428571428571429,0.6277367268746579,0.4583333333333333,0.5636574074074074,0.5760265920936001,0.3974358974358974,4.7286967080611834e-05,-0.016428867438774194,0.040762498642981836
khanhha,5085,0.3424120513655032,0.3375164320310811,0.3630285152409046,0.3333333333333333,0.2473940236275191,0.5371362830819386,0.4374508261211644,0.513436477171718,0.3423913043478261,0.46327198668312164,0.5046149156455928,0.3685349065880039,-0.0049669787629680546,-0.009132674407740448,0.013764900764687657
road420,420,0.3606880129268189,0.22448069141217608,0.22380952380952382,0.3333333333333333,0.19402985074626866,0.5271814443762921,0.7435897435897436,0.5962716198936671,0.14444444444444443,0.5093055555555556,0.5442528732751716,0.14523809523809525,-0.006973036709932991,-0.013545974006050579,0.0555026401212655
