permutation,balanced_accuracy
1,0.4482482942208241
2,0.4380349197515609
3,0.4416885578477931
4,0.4580260737275017
5,0.4527406648492418
6,0.4595536040058393
7,0.4210104093141993
8,0.4347554736597315
9,0.4528923352886245
10,0.4299820555054918
11,0.43614621149218363
12,0.43426122441955933
13,0.41957501048719575
14,0.4451354978645994
15,0.44467565778324164
16,0.43046422270736767
17,0.4305098629615911
18,0.44515043663973136
19,0.4299438981458643
20,0.4298628964872146
21,0.45573709814239033
22,0.4281836214808295
23,0.4346949891795859
24,0.4633338299868248
25,0.45203692157444264
26,0.4432914843673485
27,0.43701748921304945
28,0.46021361151763895
29,0.4456372367528824
30,0.44604404148111554
31,0.43831881726070376
32,0.45326473085804314
33,0.4374708256594831
34,0.4532442744611738
35,0.42884546594870326
36,0.44479761275671986
37,0.4474915223464153
38,0.4314267471691055
39,0.4462423044203336
40,0.4427981265911534
41,0.45317815079602125
42,0.4405770913667239
43,0.4565906681469831
44,0.44053055964852333
45,0.45507058699566655
46,0.4454929816729459
47,0.44873886954884806
48,0.4336552112600112
49,0.44820176250262356
50,0.4339391357832141
51,0.45882007772998584
52,0.4391137802623149
53,0.4441981234926408
54,0.45819642438931446
55,0.44242205710958665
56,0.42841169443516175
57,0.45018356121246184
58,0.45548948051571087
59,0.4137729982341854
60,0.4472802251232891
61,0.42673614061552967
62,0.4594940717713056
63,0.4386977097115316
64,0.4321490761171249
65,0.4503436600385375
66,0.442057144434764
67,0.44924154717571313
68,0.4298247053600123
69,0.4454241295877421
70,0.4398426736268932
71,0.43941163728691796
72,0.4355225243839373
73,0.45306364494956414
74,0.44481062002656807
75,0.44314815451896394
76,0.4330287619641388
77,0.437076163751181
78,0.45575292162798453
79,0.4359116349029272
80,0.46476367742451624
81,0.4395978181878399
82,0.4500904640084859
83,0.4420506745674147
84,0.45964764670191216
85,0.42642616778505554
86,0.43824250929496394
87,0.4366702775009849
88,0.448346051350135
89,0.4599464559721272
90,0.4395019655497528
91,0.45012585918048714
92,0.4449381871709932
93,0.44684924281143373
94,0.44193243402717464
95,0.43703239422060663
96,0.43349138449366764
97,0.4534090129520396
98,0.4308496187931196
99,0.4508100442759091
100,0.4489836912203266
101,0.45056054917206567
102,0.45889547397120367
103,0.4589168893671998
104,0.4277880140804304
105,0.43570217463587513
106,0.4286993401451176
107,0.4327988385467025
108,0.42924295082626623
109,0.44984288690289626
110,0.43780779228932554
111,0.4254310643670624
112,0.45607405801871775
113,0.4455404588832434
114,0.4492732076539315
115,0.4588024105348026
116,0.44857596801405636
117,0.43549365986092
118,0.43956990591043454
119,0.43775285244497714
120,0.459823582520612
121,0.4511684127947178
122,0.44821388506200965
123,0.4375415484683359
124,0.4491689536432113
125,0.45195217846849484
126,0.4419082294294923
127,0.4369188203592165
128,0.45870932683785665
129,0.42508198868486385
130,0.444617017012685
131,0.45648083573289105
132,0.4378971412924885
133,0.4429917566190964
134,0.4353652080060327
135,0.4346642877004944
136,0.43713198830599165
137,0.42943841781028325
138,0.4287598313787783
139,0.45843195322418273
140,0.4166679261972101
141,0.43982960557541023
142,0.4552251141718851
143,0.4233766451106625
144,0.45757926793005205
145,0.4503241288732201
146,0.43382739887789806
147,0.4281650087935493
148,0.4520881199714932
149,0.42582759699901346
150,0.4371738871129171
151,0.44390121871364957
152,0.41375714098101635
153,0.4542588820304243
154,0.4305601023595147
155,0.440115407575777
156,0.4389816139741895
157,0.41510781696261717
158,0.44356609579339623
159,0.44429498915797455
160,0.44860298882748456
161,0.4602498981536174
162,0.45595398052240355
163,0.4318931178994472
164,0.415579772849846
165,0.4313355274422936
166,0.4358250751014503
167,0.44288379492865326
168,0.43588834878328203
169,0.4320001678653684
170,0.44403431023332707
171,0.45935904874634437
172,0.42742963880810675
173,0.4376178969551656
174,0.4359935280255541
175,0.4422386991779257
176,0.4560433227720515
177,0.4416159508082613
178,0.4365576221176319
179,0.44105461890380965
180,0.4532237842967297
181,0.44670217151575126
182,0.45194849780283164
183,0.44361078380200764
184,0.44402685435279104
185,0.44377181461315035
186,0.44229543545725836
187,0.4545679363828614
188,0.44501078745701
189,0.4358269188110393
190,0.45978913959422263
191,0.43795482981743317
192,0.4432198093128837
193,0.4431583658336112
194,0.45480156072650585
195,0.4594391386804721
196,0.42567589279205587
197,0.440000881468775
198,0.4430950921517794
199,0.44571544920984624
