milestone,epoch,dataset,baseline_samples,frangi_samples,baseline_precision,frangi_precision,delta_precision_frangi_minus_baseline,improvement_precision,baseline_recall,frangi_recall,delta_recall_frangi_minus_baseline,improvement_recall,baseline_dice,frangi_dice,delta_dice_frangi_minus_baseline,improvement_dice,baseline_iou,frangi_iou,delta_iou_frangi_minus_baseline,improvement_iou,baseline_wasserstein,frangi_wasserstein,delta_wasserstein_frangi_minus_baseline,improvement_wasserstein,wasserstein_common_finite,wasserstein_total_pairs,wasserstein_common_coverage,wasserstein_datasets_covered,wasserstein_datasets_total
epoch20,20,khanhha_original,1695,1695,0.7493221748481216,0.7525821803010716,0.003260005452950021,0.003260005452950021,0.7711459743369301,0.764593205963194,-0.006552768373736084,-0.006552768373736084,0.7453199181521043,0.7433969835592719,-0.001922934592832437,-0.001922934592832437,0.6238044947390237,0.6221042065954592,-0.0017002881435644879,-0.0017002881435644879,,,,,0,1695,0.0,0,1
epoch20,20,khanhha_noisy1,1695,1695,0.7301769076301692,0.7150774254939851,-0.015099482136184061,-0.015099482136184061,0.7189114288075823,0.7227216143065658,0.003810185498983487,0.003810185498983487,0.6907005064260806,0.6876911884994982,-0.0030093179265824332,-0.0030093179265824332,0.5678115519313996,0.5671702719139617,-0.0006412800174379063,-0.0006412800174379063,,,,,0,1695,0.0,0,1
epoch20,20,khanhha_noisy2,1695,1695,0.6396915775912075,0.6247235213201322,-0.014968056271075336,-0.014968056271075336,0.6748121664957597,0.6086715517641368,-0.06614061473162292,-0.06614061473162292,0.6243293747541984,0.5837138133800122,-0.040615561374186204,-0.040615561374186204,0.5133437612837761,0.4848449934688206,-0.028498767814955528,-0.028498767814955528,,,,,0,1695,0.0,0,1
epoch20,20,road420,420,420,0.861177869296757,0.7517345154768832,-0.1094433538198738,-0.1094433538198738,0.5637789461305484,0.6540681093751632,0.09028916324461489,0.09028916324461489,0.6251577572863767,0.6168933541689894,-0.008264403117387298,-0.008264403117387298,0.4836394002561577,0.4745337872293983,-0.009105613026759385,-0.009105613026759385,,,,,0,420,0.0,0,1
epoch20,20,facade390,390,390,0.6406983079117042,0.5505831715752079,-0.09011513633649637,-0.09011513633649637,0.8253946651891335,0.9096019203278688,0.08420725513873528,0.08420725513873528,0.6655554364566215,0.65386524540482,-0.011690191051801468,-0.011690191051801468,0.5163686768272836,0.4989024325370098,-0.017466244290273825,-0.017466244290273825,,,,,0,390,0.0,0,1
epoch20,20,concrete3k,3000,3000,0.8836147914888591,0.917544861050896,0.033930069562036924,0.033930069562036924,0.7677740041575412,0.7199943091767735,-0.04777969498076762,-0.04777969498076762,0.7989288114855093,0.7889220770382835,-0.010006734447225774,-0.010006734447225774,0.6998229373775023,0.6827934235297374,-0.017029513847764965,-0.017029513847764965,,,,,0,3000,0.0,0,1
epoch20,20,MACRO_6_DATASETS,8895,8895,0.7507802714611365,0.7187076125363627,-0.032072658924773734,-0.032072658924773734,0.7203028641862491,0.7299417851522837,0.009638920966034581,0.009638920966034581,0.6916653007601484,0.6790804436751459,-0.012584857085002565,-0.012584857085002565,0.5674651370691906,0.5550581858790645,-0.012406951190126025,-0.012406951190126025,,,,,0,8895,0.0,0,6
epoch20,20,PONDERE_IMAGES,8895,8895,0.7705946698678561,0.7678111205202424,-0.002783549347613712,-0.002783549347613712,0.7342852175167484,0.7129997957271741,-0.021285421789574266,-0.021285421789574266,0.7207658485220099,0.707808684754631,-0.012957163767378876,-0.012957163767378876,0.6063955051922543,0.5935794170790459,-0.012816088113208335,-0.012816088113208335,,,,,0,8895,0.0,0,6
epoch25_best,25,khanhha_original,1695,1695,0.7493221748481216,0.7526746096742712,0.003352434826149664,0.003352434826149664,0.7711459743369301,0.7665719321451874,-0.004574042191742733,-0.004574042191742733,0.7453199181521043,0.744551397838268,-0.0007685203138363406,-0.0007685203138363406,0.6238044947390237,0.6229724776349823,-0.0008320171040413493,-0.0008320171040413493,,,,,0,1695,0.0,0,1
epoch25_best,25,khanhha_noisy1,1695,1695,0.7301769076301692,0.7110753816739112,-0.019101525956258025,-0.019101525956258025,0.7189114288075823,0.7357816819857322,0.01687025317814994,0.01687025317814994,0.6907005064260806,0.6915218272274141,0.0008213208013334583,0.0008213208013334583,0.5678115519313996,0.5704863157450496,0.0026747638136499496,0.0026747638136499496,,,,,0,1695,0.0,0,1
