dataset,n,min,p05,p25,median,p75,p95,max
khanhha_original,1695,-1.0,-0.03497726899944831,-0.006547925525178189,0.0,0.0058659633420128365,0.03135995428628223,1.0
khanhha_noisy1,1695,-1.0,-0.06605990550395749,-0.014719337579110703,0.0,0.013901304330294462,0.09542382821523004,1.0
khanhha_noisy2,1695,-0.8111651621966129,-0.30470796002962713,-0.02255833710138183,0.0,0.0038911298597033017,0.061486847477880975,1.0
road420,420,-0.6802705315293878,-0.3373608733478138,-0.09154444007182644,-0.006114492840419121,0.07767283155857807,0.2848232895092748,0.4953818941200306
facade390,390,-0.4563664418790719,-0.2178596919382603,-0.09573809331670316,-0.015764738993992833,0.04102494554966246,0.23171715003062382,0.5394883203559511
concrete3k,3000,-1.0,-0.1043605035267047,-0.030312981231473246,-0.009087629378075224,0.006539696256845001,0.08627224633834008,1.0
