variant,split,epoch,global_step,loss,ce,dice_loss,lr,precision,recall,dice,iou
baseline_r4,train,1.0,1141.0,0.1353751054061389,0.06224348229653219,0.15365800846573766,0.000375323149146078,,,,
baseline_r4,train,2.0,2282.0,0.105106138656084,0.04857622948618023,0.11923861401735117,0.0003438466283573671,,,,
baseline_r4,train,3.0,3423.0,0.1015180713618721,0.04680752914682958,0.11519570498483209,0.0003146013713467602,,,,
baseline_r4,train,4.0,4564.0,0.09996862935455716,0.045709237770036014,0.11353347546483841,0.00028745900955359587,,,,
baseline_r4,train,5.0,5705.0,0.09789621601441155,0.04490805729753505,0.11114325377629787,0.00026229679489743853,,,,
baseline_r4,train,6.0,6846.0,0.09694515425617187,0.04433351991605095,0.11009806094203049,0.00023899743326913342,,,,
baseline_r4,train,7.0,7987.0,0.09595322461699207,0.043605709896247,0.10904010150852587,0.00021744892052571842,,,,
baseline_r4,train,8.0,9128.0,0.09520839493294017,0.04314846441632922,0.10822337586351072,0.00019754438098920036,,,,
baseline_r4,train,9.0,10269.0,0.09430505285377465,0.042780078914435624,0.1071862946415449,0.0001791819084491894,,,,
baseline_r4,train,10.0,11410.0,0.09387999779228888,0.042582584889906884,0.10670434932349336,0.00016226440966939665,,,,
baseline_r4,train,11.0,12551.0,0.09283059553017123,0.042226705243068235,0.10548156627848104,0.00014669945039799058,,,,
baseline_r4,train,12.0,13692.0,0.09246438737929286,0.041940145167594776,0.10509544621424963,0.00013239910388181665,,,,
baseline_r4,train,13.0,14833.0,0.09224010314090433,0.041776216697473466,0.10485607302053052,0.00011927980188447567,,,,
baseline_r4,train,14.0,15974.0,0.09147875845158027,0.041571063354389384,0.10395568045056984,0.00010726218820826495,,,,
baseline_r4,train,15.0,17115.0,0.09167723694618703,0.04140427647081778,0.1042454752558475,9.627097471997922e-05,,,,
baseline_r4,train,16.0,18256.0,0.09169381396889059,0.041190115432928366,0.10431973668799706,8.623479988057278e-05,,,,
baseline_r4,train,17.0,19397.0,0.09060476045471132,0.04119280294664563,0.10295774819660772,7.708608977868277e-05,,,,
baseline_r4,train,18.0,20538.0,0.09051168627390518,0.04092686762421096,0.10290788917244786,6.876092166801357e-05,,,,
baseline_r4,train,19.0,21679.0,0.0905294077377848,0.040818719502233564,0.10295707794472797,6.119889000858157e-05,,,,
baseline_r4,train,20.0,22820.0,0.08993892734388736,0.04069399608398717,0.10225015839498154,5.434297501182111e-05,,,,
baseline_r4,train,21.0,23961.0,0.08977886372287476,0.04051813343172529,0.10209404453178125,4.8139413689551644e-05,,,,
baseline_r4,train,22.0,25102.0,0.08964962969998536,0.04044389193964047,0.10195106241809601,4.253757340680564e-05,,,,
baseline_r4,train,23.0,26243.0,0.08919769381544342,0.04035360353372789,0.10140871481870373,3.7489827938517346e-05,,,,
baseline_r4,train,24.0,27384.0,0.08951527080404768,0.04037154768083463,0.10180119999033856,3.29514360300725e-05,,,,
baseline_r4,train,25.0,28525.0,0.08929284215691735,0.0403084609311443,0.1015389357398833,2.888042246171916e-05,,,,
baseline_r4,train,26.0,29666.0,0.08929663693808235,0.04029374297685418,0.10154735856574423,2.5237461616839435e-05,,,,
baseline_r4,train,27.0,30807.0,0.08926203614794613,0.04030373895673063,0.10150160863146669,2.198576355408202e-05,,,,
baseline_r4,train,28.0,31948.0,0.08872609906793164,0.04003423690635917,0.10089906269160412,1.9090962583355707e-05,,,,
baseline_r4,train,29.0,33089.0,0.08903307547689947,0.04023870710923445,0.10123166585574539,1.6521008345683966e-05,,,,
baseline_r4,train,30.0,34230.0,0.08918156018717366,0.040040270206078664,0.10146688090720582,1.424605939692043e-05,,,,
baseline_r4,train,31.0,35371.0,0.0884915561652779,0.03997598372654472,0.10062044762290433,1.2238379295325219e-05,,,,
baseline_r4,train,32.0,36512.0,0.08881179188148794,0.040144860813856174,0.10097852278758725,1.0472235193002268e-05,,,,
baseline_r4,train,33.0,37653.0,0.08883646460973203,0.040089846817624744,0.10102311735295288,8.923798931197641e-06,,,,
baseline_r4,train,34.0,38794.0,0.08845319884268471,0.04005619961814098,0.10055244682025324,7.571050639458771e-06,,,,
baseline_r4,train,35.0,39935.0,0.08833053256617655,0.04011797358050916,0.10038367052228696,6.393684838654591e-06,,,,
baseline_r4,train,36.0,41076.0,0.08850696523927681,0.03994648245071027,0.10064708405581616,5.373019047856666e-06,,,,
baseline_r4,train,37.0,42217.0,0.08888600147627196,0.040021213109455646,0.10110219686204774,4.49190489508122e-06,,,,
baseline_r4,train,38.0,43358.0,0.08847687446318835,0.039937785463399475,0.100611644915381,3.7346417318921646e-06,,,,
baseline_r4,train,39.0,44499.0,0.08842465405880517,0.039903348537062365,0.10055497894675768,3.086892751865042e-06,,,,
baseline_r4,train,40.0,45640.0,0.08858135258689144,0.04004878066088367,0.10071449369636154,2.5356036129118817e-06,,,,
baseline_r4,train,41.0,46781.0,0.088279745901472,0.03988076864572782,0.10037948842846857,2.0689235634670644e-06,,,,
baseline_r4,train,42.0,47922.0,0.08828744761756802,0.03991728742491849,0.10037998592613247,1.6761290725340642e-06,,,,
baseline_r4,train,43.0,49063.0,0.08859997872495004,0.040011223236639235,0.10074716573948404,1.3475499635931925e-06,,,,
baseline_r4,train,44.0,50204.0,0.08863568332741702,0.040027900900949674,0.10078762713281028,1.0744980523702362e-06,,,,
baseline_r4,train,45.0,51345.0,0.08824585908068888,0.039839763124126494,0.10034738142797552,8.491982884660793e-07,,,,
baseline_r4,train,46.0,52486.0,0.08830306698273505,0.03994041824457052,0.10039372735646186,6.647224008472374e-07,,,,
baseline_r4,train,47.0,53627.0,0.08865056622783203,0.03991542129281918,0.10083435061832564,5.149250471973605e-07,,,,
baseline_r4,train,48.0,54768.0,0.08839652199856447,0.039910000911362854,0.10051815053750088,3.9438246712965863e-07,,,,
baseline_r4,train,49.0,55909.0,0.08886383929331505,0.03983119688215836,0.10112199816758125,2.983336392602892e-07,,,,
baseline_r4,train,50.0,57050.0,0.0882828110187436,0.03996064882287976,0.10036334990932688,2.2262394214267253e-07,,,,
baseline_r4,validation,5.0,5705.0,0.15496976586085842,0.04665982678180879,0.18204724782469864,,0.729821616155621,0.764187121708184,0.7295091196250423,0.6087952927732933
baseline_r4,validation,10.0,11410.0,0.15216618900626835,0.04340668967878951,0.17935606137134924,,0.7501389409671154,0.75455657644972,0.736078845761327,0.6164822173585374
baseline_r4,validation,15.0,17115.0,0.15156821667249634,0.04277202922243524,0.17876726060548095,,0.7683131157401842,0.7348134791074914,0.7363920041293789,0.6170508413382855
baseline_r4,validation,20.0,22820.0,0.14910823544739066,0.043090215611093614,0.17561273769380645,,0.7577156614058285,0.7592688265839029,0.7438733528339898,0.6244404983665929
baseline_r4,validation,25.0,28525.0,0.1488942340163518,0.0426370980369063,0.17545851488866826,,0.7602034041511455,0.7544313830955893,0.7427415337781539,0.623775401205911
baseline_r4,validation,30.0,34230.0,0.14826548375235774,0.0419375443519502,0.17484746597660802,,0.7651929613392704,0.7491504547501829,0.7431173853217032,0.6241494778561911
baseline_r4,validation,35.0,39935.0,0.14829941877316907,0.04175795601520184,0.17493478176251767,,0.7672605394338639,0.7464535092819047,0.7424732527098438,0.6235149638022114
baseline_r4,validation,40.0,45640.0,0.14839122477307018,0.04183516795066714,0.17503023593688458,,0.7667689739341511,0.7466524469862037,0.7419221406598548,0.6231072083460948
baseline_r4,validation,45.0,51345.0,0.14836247937207783,0.041914121859867835,0.17497456594217345,,0.7654431236571738,0.748162007124296,0.7422042888371632,0.6234035570442569
baseline_r4,validation,50.0,57050.0,0.14837357518021133,0.0419376784848301,0.1749825462729916,,0.7653593975944892,0.7484893370232469,0.7421806231547268,0.6234195537087994
frangi_r4,train,1.0,1141.0,0.134269326660818,0.06285483704036711,0.1521229466307487,0.000375323149146078,,,,
frangi_r4,train,2.0,2282.0,0.1061049509241746,0.049025206266690984,0.12037488504734925,0.0003438466283573671,,,,
frangi_r4,train,3.0,3423.0,0.10207845756455955,0.047019754980481006,0.1158431312632498,0.0003146013713467602,,,,
frangi_r4,train,4.0,4564.0,0.10023396934964592,0.04584116268197281,0.11383216891447563,0.00028745900955359587,,,,
frangi_r4,train,5.0,5705.0,0.09821503963664266,0.045095266979987635,0.11149498099407326,0.00026229679489743853,,,,
frangi_r4,train,6.0,6846.0,0.09769458043259241,0.044675249334565126,0.11094941129609225,0.00023899743326913342,,,,
