run,label,variant,epoch,evaluation_root,dataset,samples,wasserstein_source,precision,precision_std,precision_finite_samples,recall,recall_std,recall_finite_samples,dice,dice_std,dice_finite_samples,iou,iou_std,iou_finite_samples,wasserstein,wasserstein_std,wasserstein_finite_samples,wasserstein_complete,wasserstein_missing_samples
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,khanhha_original,1695,scan seulement / calcul non publié,0.7526746096742712,0.18440335693083904,1695,0.7665719321451874,0.1979406812675687,1695,0.744551397838268,0.1814333980200778,1695,0.6229724776349823,0.21325330713999405,1695,,,0,False,1695
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,khanhha_noisy1,1695,scan seulement / calcul non publié,0.7110753816739112,0.2357458052291017,1695,0.7357816819857322,0.24443121452792813,1695,0.6915218272274141,0.22696024899799547,1695,0.5704863157450496,0.24901892308571613,1695,,,0,False,1695
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,khanhha_noisy2,1695,scan seulement / calcul non publié,0.6228012874423501,0.33469907238128743,1695,0.6108812280465025,0.35416097429385035,1695,0.5832175747792807,0.3298939860675082,1695,0.4841029913509463,0.31847285335885306,1695,,,0,False,1695
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,road420,420,scan seulement / calcul non publié,0.7656399306951943,0.2607004610031901,420,0.6391659410766081,0.25840299377430365,420,0.6129848206288302,0.2043399344512155,420,0.4700934262501071,0.19379626383497287,420,,,0,False,420
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,facade390,390,scan seulement / calcul non publié,0.5517763017148233,0.18270567580794467,390,0.91097409132606,0.156817363797518,390,0.6551241020989096,0.12869119846911362,390,0.49993980938850946,0.13591967259880905,390,,,0,False,390
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,concrete3k,3000,scan seulement / calcul non publié,0.9050834227176814,0.2119876825784418,3000,0.7392135758577585,0.20589668538433212,3000,0.79337331528927,0.19690087402555415,3000,0.6901317148391102,0.20405787407626486,3000,,,0,False,3000
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,MACRO_6_DATASETS,8895,scan seulement / calcul non publié,0.7181751556530386,0.11196203047957033,8895,0.7337647417396415,0.09709318049242396,8895,0.680128839643662,0.07260593052158336,8895,0.5562877892014508,0.07997692410094673,8895,,,0,False,8895
epoch25_best,Frangi — époque 25 (best validation),frangi,25,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best,PONDERE_IMAGES,8895,scan seulement / calcul non publié,0.7632058700690004,0.26700345140272413,8895,0.7221251687389932,0.2569805251927855,8895,0.7100359613364481,0.2426451649596183,8895,0.596546164623148,0.25144888889624206,8895,,,0,False,8895
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,khanhha_original,1695,scan seulement / calcul non publié,0.7552918552197239,0.1818620437035045,1695,0.760451464305142,0.2039005048669186,1695,0.7429047871500297,0.18496117612423654,1695,0.6216589960955258,0.2150117800684933,1695,,,0,False,1695
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,khanhha_noisy1,1695,scan seulement / calcul non publié,0.7164969839771359,0.2372785973978682,1695,0.7227568591594147,0.2503799630958467,1695,0.6886658836579946,0.2298107402067289,1695,0.5679640854632938,0.2511734595649121,1695,,,0,False,1695
