run,run_label,epoch,paper_model,paper_label,dataset,sam2_precision,paper_precision,delta_precision_sam2_minus_paper,sam2_recall,paper_recall,delta_recall_sam2_minus_paper,sam2_dice,paper_dice,delta_dice_sam2_minus_paper,sam2_iou,paper_iou,delta_iou_sam2_minus_paper,iou_source,pr_re_f1_source
baseline_best,Baseline SAM 2 + LoRA r=4 — meilleure époque validation,,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7705946698678561,,,0.7342852175167484,,,0.7207658485220099,,,0.6063955051922543,0.6046760539629005,0.0017194512293537967,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_original,0.7525821803010716,0.7676,-0.015017819698928347,0.764593205963194,0.7965,-0.03190679403680596,0.7433969835592719,0.7704,-0.02700301644072811,0.6221042065954592,0.6495,-0.02739579340454079,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy1,0.7150774254939851,,,0.7227216143065658,,,0.6876911884994982,,,0.5671702719139617,0.5466,0.02057027191396177,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy2,0.6247235213201322,,,0.6086715517641368,,,0.5837138133800122,,,0.4848449934688206,0.4763,0.008544993468820594,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",road420,0.7517345154768832,,,0.6540681093751632,,,0.6168933541689894,,,0.4745337872293983,0.6149,-0.14036621277060168,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",facade390,0.5505831715752079,,,0.9096019203278688,,,0.65386524540482,,,0.4989024325370098,0.4718,0.02710243253700978,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",concrete3k,0.917544861050896,,,0.7199943091767735,,,0.7889220770382835,,,0.6827934235297374,0.6718,0.010993423529737423,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7187076125363627,,,0.7299417851522837,,,0.6790804436751459,,,0.5550581858790645,0.5718166666666668,-0.016758480787602226,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7678111205202424,,,0.7129997957271741,,,0.707808684754631,,,0.5935794170790459,0.59498347386172,-0.001404056782674079,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_original,0.7525821803010716,0.762,-0.009417819698928409,0.764593205963194,0.7918,-0.027206794036805926,0.7433969835592719,0.7639,-0.02050301644072816,0.6221042065954592,0.6416,-0.019495793404540773,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy1,0.7150774254939851,,,0.7227216143065658,,,0.6876911884994982,,,0.5671702719139617,0.5782,-0.011029728086038304,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy2,0.6247235213201322,,,0.6086715517641368,,,0.5837138133800122,,,0.4848449934688206,0.4915,-0.006655006531179397,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",road420,0.7517345154768832,,,0.6540681093751632,,,0.6168933541689894,,,0.4745337872293983,0.6222,-0.14766621277060166,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",facade390,0.5505831715752079,,,0.9096019203278688,,,0.65386524540482,,,0.4989024325370098,0.4544,0.04450243253700975,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
